"holder_name","segment","licenses","mining_lics","hectares","main_commodities","lics_in_default_2025","lics_cancelled_2024","district","province","example_license","latest_decision","official_source","outreach_route"
"AGEC General Dealers","gemstones","1","0","397","Gold/Gemstones","1","0","","","","","","MMMD licence file; provincial mining bureau"
"Kamwachi General dealers","industrial_minerals","1","1","53","Limestone (General)","1","0","Luanshya","Copperbelt","7854-HQ-SML","deferred","https://www.mmmd.gov.zm/?p=3378","district mining office / ASM association in Luanshya"
