"holder","segment","licenses","mining_lics","hectares","main_commodities","lics_in_default_2025"
"Athena Investments Limited","gold","2","0","1069","Iron Ore/Silver/Gold","2"
"Atlas Alloys Zambia Limited","critical_battery","1","1","13","Manganese","1"
"Aupie Mining Company Limited","gemstones","1","0","89","Tourmaline/Quartz/Aquamarine","0"
"Aurum Trading Limited","gemstones","1","0","43","Quartz/Nickel/Tantalum","1"
"Awesome Diamonds Corporation Limited","gemstones","1","0","206","Silver/Quartz/Nickel","0"
"Azadi Investment Limited","critical_battery","1","0","493","Lead/Manganese/Zinc","1"
"AZANIA MINING COMPANY LIMITED","gemstones","1","0","990","Iron Ore/Lead/Manganese","1"
"Aztec Mining Limited","critical_battery","1","0","2593","Manganese/Silver/Lead","1"
"B&G Holdings Limited","gold","1","0","652","Iron Ore/Malachite/Gold","1"
"B.C.N INTERNATIONAL LIMITED","gemstones","1","0","11585","Gold/Lithium/Copper","0"
"Baalgoray Trading Limited","gold","1","1","7","Gold","1"
"Bachoba Multi-Purpose Co-operative Society Limited","critical_battery","1","1","7","Silica/Manganese/Silver","1"
"Bakwalufu Enterprises Ltd","critical_battery","1","1","100","Nickel/Silver/Uranium","0"
"Baluba Minerals Limited","gemstones","1","0","145005","Manganese/Limestone (General)/Lead","0"
"Balume Mining Co-operative Society Limited","gemstones","1","1","7","Gold/Iron Ore/Zinc","0"
"Bambelela Solutions Limited","gemstones","1","0","2973","Iron Ore/Gold/Limestone (General)","1"
"Bangaram Mining Limited","gemstones","2","0","1297","Iron Ore/Zinc/Manganese","2"
"Bangweulu Batteries Limited","critical_battery","1","0","28191","Manganese/Lead/Uranium","0"
"Bans Country wide Tours Limited","critical_battery","1","0","19002","Lead/Iron Ore/Lithium","1"
"Baochuan Industry Company Limited","gemstones","1","0","3079","Gypsum/Anhydrite/Granite","1"
"Batizateck Youth Investments Limited","gemstones","2","0","89","Copper/Cobalt/Gold","0"
"Bauxite Mining Limited","gold","1","0","66","Silica/Silver/Zinc","1"
"Bayaji Zambia Limited","critical_battery","1","0","72657","Gold/Manganese/Cobalt","0"
"Baza Resources Limited","critical_battery","2","0","690","Zinc/Manganese/Lead","1"
"Beagem Mining Limited","gemstones","2","0","167","Quartz/Emerald","2"
"Beatis Ventura Limited","gemstones","1","0","56","Tantalum/Silver/Quartz","1"
"BED-ROCK MINE LIMITED","gemstones","1","1","35","Emerald","0"
"Beker Mining Limited","critical_battery","1","0","84261","Nickel/Lead/Zinc","1"
"Belipajaali Enterprises Limited","gold","1","0","904","Zinc/Gold/Copper","0"
"Belmt Resources Mining Company Limited","gemstones","1","0","4349","Silver/Quartz/Zinc","0"
"Bema Mining Services Limited","gemstones","2","0","1526","Cobalt/Gold/Copper","1"
"Benchmark Mining Limited","critical_battery","1","0","16","Lead/Iron Ore/Manganese","1"
"Benechishi Mining Co-operative Society Limited","critical_battery","1","1","7","Rare EarthsElements/Feldspar/Chromium","1"
"Bengold Minerals Limited","gemstones","1","0","390","Manganese/Lead/Zinc","0"
"Benja Innovations Zambia Limited","critical_battery","1","0","4090","Manganese/Malachite/Zinc","0"
"Benox Investments Limited","critical_battery","1","0","301","Nickel/Manganese/Zinc","1"
"Beunasha Multi Purpose Cooperative Society Limited","critical_battery","1","1","7","Lead/Tin/Zinc","1"
"BHASCORE MINING ZAMBIA LIMITED","critical_battery","2","0","5208","Iron Ore/Copper/Gold","0"
"BHAVANI MINING LIMITED","critical_battery","1","0","17931","Manganese/Lead/Zinc","0"
"Bimbe Mines Limited","critical_battery","1","0","3847","Manganese/Lead/Uranium","1"
