"holder","licenses","mining_lics","hectares","main_commodities","score"
"Jingdao Mining Limited","5","0","62433","Copper/Manganese/Cobalt","9.79541723264416"
"Hongyida Investment Limited","5","0","56652","Copper/Silver/Zinc","9.75321236941789"
"New-MC Investment Limited","5","0","55412","Gold/Copper/Cobalt","9.74360048908953"
"Zamare Minerals ( Zambia) Limited","5","0","51225","Gold/Copper/Cobalt","9.70948284032431"
"Golden Baobab Investments Limited","5","0","50626","Copper/Gold/Cobalt","9.70437145472604"
"Siraj Solutions Company Limited","5","0","47951","Copper/Cobalt/Gold","9.68079856891815"
"Bandar Investments Limited","3","1","4678","Gold/Copper/Cobalt","9.67010368188134"
"Consolidated Gold Company of Zambia Limited","2","2","46","Gold","9.66515680746091"
"Fontainebleau Zambia Limited","5","0","46242","Gold/Nickel/Zinc","9.66503541943007"
"Musakashi Farms Limited","3","1","4597","Emerald/Gold/Quartz","9.66243660879346"
"Chirundu Joint Venture Zambia Limited","2","1","45312","Uranium/Coal","9.65620955023789"
"Oval Mining Limited","3","1","4526","Gold/Copper/Silver","9.65568787317725"
"CORE LODE INVESTMENTS LIMITED","5","0","44689","Emerald/Gold/Nickel","9.65020491452669"
"Muchinga Energy Resources Limited","2","1","44327","Uranium/Coal","9.64666376036356"
"Nyatungu  Multipurpose Coorperative  Society","2","2","44","Copper/Cobalt/Silver","9.63932409652459"
"Pendwe Mining Company Limited","2","1","42439","Iron Ore/Gold/Copper","9.62776600464148"
"KHAYBAR RESOURCES LIMITED","5","0","42182","Gold/Manganese/Cobalt","9.625129903948"
"Minetech Resources Limited","2","1","41187","Iron Ore/Silver/Zinc","9.61475901250416"
"Handa Resources Limited","2","1","40217","Gold/Zinc/Cobalt","9.6044131224089"
"GABBRO VENTURES LIMITED","5","0","40136","Copper/Gold/Malachite","9.6035327376102"
"Manvi Mining Associates Limited","6","0","3937","Lead/Copper/Manganese","9.59514445519086"
"EZULU Mining Limited","5","0","38775","Copper/Gold/Iron Ore","9.58855651061703"
"Sino-Kasempa Minerals Limited","2","1","35820","Gold/Zinc/Copper","9.55412202421198"
"Tiger Distributors Limited","4","1","358","Tourmaline/Zinc/Iron Ore","9.5537529614475"
"Dharti Mining Limited","2","1","35704","Zinc/Beryllium/Emerald","9.55272017019585"
"Shrinath Company Limited","4","0","354887","Copper/Nickel/Lead","9.55008995169256"
"Macro Mining Africa Limited","4","1","342","Gold/Nickel/Zinc","9.53425474888862"
"Advantex Investments Limited","2","2","33","Copper","9.52326900062606"
"Prasine Mineral Limited","5","0","32279","Gold/Copper/Cobalt","9.50892316636169"
"Minerox Resources Limited","6","0","3111","Gold/Iron Ore/Copper","9.49289223533911"
"Sunion Investments Limited","3","1","2914","Gold/Copper/Tantalum","9.46441622983321"
"AA Minerals Limited","4","0","283845","Manganese/Copper/Gold","9.4530807650837"
"Lubona Mining Company","5","0","28347","Gold/Zinc/Manganese","9.45249950459996"
"Strong Tower Mining Ltd","2","1","27227","Zinc/Nickel/Quartz","9.43499543195407"
"Divine Booker Limited","3","1","2690","Gold/Copper/Iron Ore","9.42980865390219"
"Ishmu Mining Company Limited","2","1","25649","Malachite/Lead/Iron Ore","9.40907462318336"
"Olibul Investments Limited","3","1","2464","Amethyst/Silica/Zinc","9.39160871187236"
"Lukanga Quarries Limited","3","1","2434","Limestone (General)/Silver/Quartz","9.38636905015754"
"ZCCM - IH Investments Holdings Plc","3","1","2349","Cobalt/Sand and Gravel/Copper","9.3708232578871"
"IMSS Mining and Engineering Company Limited","5","0","23057","Gold/Silver/Copper","9.36281029233987"
"Forward Mining Limited","5","0","22243","Gold/Copper/Cobalt","9.34719411160713"
"Goldmap Investments Limited","3","1","2219","Emerald/Diamond/Gold","9.34616538524021"
"Kamwenshya Mineral Zambia Limited","3","1","2146","Gold/Copper/Iron Ore","9.33167059524259"
"Trimble Spatial Zen Ltd Test","5","0","20905","Copper","9.32025311772469"
"R and R Matunga Logistics Limited","2","1","20752","Gold/Silver/Cobalt","9.31706465910685"
"Upendo Resources Limited","3","1","2075","Gold/Copper/Manganese","9.31703735608744"
"Shoe Bill Resources Limited","5","0","19633","Copper/Gold/Iron Ore","9.29298836102165"
"Jasper-Oko Berly Zambia Limited","3","1","1962","Emerald/Tin/Zinc","9.29267502985812"
"KEKI MINING LIMITED","5","0","19488","Manganese/Copper/Gold","9.2897684320115"
"Lanxing Investment Limited","2","1","19472","Copper/Magnesium (Brucit)/Iron Ore","9.28941481861042"
"Capstone Management Company Limited","5","0","19356","Gold/Copper/Cobalt","9.28680477613281"
"Geiya Mining Limited","2","1","19144","Emerald/Gold/Diamond","9.28202278319718"
"Vetoxy  Investments Limited","6","0","1885","Copper/Cobalt/Iron Ore","9.27520340109146"
"Chibuli Investments Limited","5","0","18495","Nickel/Manganese/Zinc","9.26705341751504"
"Redstone Resources Limited","3","1","1849","Gold/Copper/Zinc","9.26703078284378"
"Afrimuk Company Limited","5","0","17452","Gold/Iron Ore/Manganese","9.24185341631479"
"Blue Fox Metals Limited","4","0","173966","Copper/Gold/Cobalt","9.24046386108829"
"Leveka Mining Ltd","3","1","1665","Gold/Copper/Manganese","9.22137975375229"
"Zanima Natural Resources Limited","4","0","162888","Gold/Copper/Silver","9.21188911196617"
"Earthcore Mining and Exploration Limited","4","0","156376","Gold/Copper/Cobalt","9.19417084009066"
"Yobe Gems Limited","4","0","155496","Quartz/Feldspar/Copper","9.19172054887064"
"Treasures of Wealth Mining Limited","5","0","15125","Gold/Copper/Quartz","9.17970837894379"
"Maxglobal Ferro Alloys Limited","2","1","14903","Manganese","9.17327721006456"
"Gamma Resources Limited","4","0","147738","Lead/Gold/Copper","9.16949124245522"
"Clestmark Hardware Suppliers Limited","5","0","14280","Gold/Copper/Cobalt","9.15472274527073"
"Deco Luck Investments Limited","2","1","13844","Iron Ore/Nickel/Gold","9.14126659733979"
