"holder","segment","hectares","licenses","mining_lics","main_commodities","lics_in_default_2025","status"
"Hakoda Resources Limited","gemstones","20888","4","0","Gold/Copper/Cobalt","1","researched_no_channel"
"Alamo Resources limited","critical_battery","20883","4","0","Malachite/Zinc/Copper","1","researched_no_channel"
"Dow Distributors Limited","gold","20820","2","0","Iron Ore/Limestone (General)/Copper","0","researched_no_channel"
"Epitome Mining Limited","gemstones","20817","2","0","Copper/Gold/Cobalt","2","researched_no_channel"
"R and R Matunga Logistics Limited","critical_battery","20752","2","1","Gold/Silver/Cobalt","1","researched_no_channel"
"Sofitel Investments Limited","gemstones","20682","1","0","Manganese/Malachite/Nickel","1","never_researched"
"Nkulo Innovations Limited","critical_battery","20650","2","0","Limestone (General)/Nickel/Zinc","0","researched_no_channel"
"Pssreddy Mining Limited","gemstones","20611","4","0","Zinc/Lead/Gold","1","researched_no_channel"
"Amin Mining Limited","gemstones","20271","2","0","Copper/Gold/Zinc","2","researched_no_channel"
"Luckking Star Investment Limited","gemstones","20259","4","0","Gold/Copper/Lead","1","researched_no_channel"
"Abeydo Investment Limited","critical_battery","20136","1","0","Nickel/Manganese/Zinc","1","never_researched"
"MOUNT WATAI COPPER MINE LIMITED","gemstones","20102","1","0","Nickel/Lead/Silver","0","never_researched"
"Silver creek  Mining Limited","gold","20066","1","0","Silver/Zinc/Gold","0","never_researched"
"Yangzijiang Investments Limited","gemstones","20062","1","0","Nickel/Mica/Zinc","0","never_researched"
"Kalene Minerals Zambia Limited","gold","20043","1","0","Silver/Zinc/Gold","0","never_researched"
"NEWCORE MINING ZAMBIA LIMITED","gemstones","20028","1","0","Malachite/Manganese/Lead","0","never_researched"
"Mega Press Limited","gemstones","19962","1","0","Iron Ore/Manganese/Zinc","1","never_researched"
"Zeno Investments Limited","critical_battery","19924","4","0","Gold/Copper/Manganese","0","researched_no_channel"
"Iimba Enterprises Limited","critical_battery","19880","3","0","Manganese/Iron Ore/Zinc","0","researched_no_channel"
"Quality Circles General Trade Limited","critical_battery","19863","1","0","Manganese/Copper/Cobalt","1","never_researched"
"Ganfeng Mining Group Limited","gemstones","19751","1","0","Molybdenum/Niobium (Columbium)/Gold","1","researched_no_channel"
"Zabullir Investment Limited","critical_battery","19723","4","0","Lead/Manganese/Zinc","1","researched_no_channel"
"Zerlin Mining Limited","critical_battery","19704","2","0","Limestone (General)/Manganese/Zinc","2","researched_no_channel"
"Shoe Bill Resources Limited","critical_battery","19633","5","0","Copper/Gold/Iron Ore","0","researched_no_channel"
"Omni Contractors Limited","critical_battery","19620","1","0","Manganese/Silver/Zinc","1","never_researched"
"Tamarisk Investments Ltd","gemstones","19616","1","0","Diamond","0","never_researched"
"Kasote International Limited","critical_battery","19491","1","0","Gold/Iron Ore/Tin","0","never_researched"
"KEKI MINING LIMITED","gemstones","19488","5","0","Manganese/Copper/Gold","0","researched_no_channel"
"Lanxing Investment Limited","gemstones","19472","2","1","Copper/Magnesium (Brucit)/Iron Ore","1","researched_no_channel"
"Capstone Management Company Limited","gemstones","19356","5","0","Gold/Copper/Cobalt","2","researched_no_channel"
"OUEST BUSINESS LIMITED","gemstones","19356","3","0","Manganese/Gold/Lead","0","researched_no_channel"
"VANBUROCK RESOURCES LIMITED","critical_battery","19351","1","0","Iron Ore/Nickel/Gold","0","never_researched"
"Dam Carriers And Logistics Zambia Limited","gemstones","19336","1","0","Rare EarthsElements/Lithium/Zinc","1","never_researched"
"DONOVAN MINERAL RESOURCES ZAMBIA LIMITED","critical_battery","19315","1","0","Iron Ore/Manganese/Uranium","0","never_researched"
"Orein Resources Limited","gemstones","19306","4","1","Gold/Copper/Zinc","0","researched_no_channel"
"Angel Dust Investments Limited","gemstones","19204","2","0","Limestone (General)/Silver/Diamond","0","researched_no_channel"
"Kumbele Mining Company Limited","critical_battery","19165","3","1","Gold/Cobalt/Copper","2","researched_no_channel"
"Geiya Mining Limited","gemstones","19144","2","1","Emerald/Gold/Diamond","1","researched_no_channel"
"Bans Country wide Tours Limited","critical_battery","19002","1","0","Lead/Iron Ore/Lithium","1","never_researched"
"Kamugo Mineral Resources Limited","critical_battery","18925","1","0","Iron Ore/Nickel/Uranium","0","never_researched"
"China Copper Mines Limited","critical_battery","18903","2","0","Nickel/Lead/Zinc","2","researched_no_channel"
"Global Dynamics Mining Limited","gemstones","18876","2","0","Rare EarthsElements/Phosphorus-Phosphates/Silver","1","researched_no_channel"
"Taelu Mining and Investments Limited","gemstones","18798","1","0","Limestone (General)/Iron Ore/Gold","0","never_researched"
"Overseas Minerals And Metals Mining Limited","critical_battery","18766","1","0","Nickel/Manganese/Limestone (General)","0","never_researched"
"Mulungushi Corporation Limited","gold","18659","3","1","Gold/Copper/Cobalt","2","researched_no_channel"
"Ulemu Mining Limited","critical_battery","18615","4","0","Iron Ore/Manganese/Gold","4","researched_no_channel"
"Costele Mining Limited","gemstones","18604","2","0","Iron Ore/Silver/Copper","0","researched_no_channel"
"Zibeline Investment Limited","gemstones","18586","4","0","Copper/Gold/Lead","2","researched_no_channel"
"Rio Tinto Exploration Zambia Ltd","gemstones","18514","1","0","Rare EarthsElements/Niobium (Columbium)/Nickel","1","never_researched"
"SHAN MINING LIMITED","gemstones","18371","1","0","Malachite/Manganese/Lead","0","never_researched"
"Luwan Excellency Investments Limited","critical_battery","18362","5","1","Silver/Limestone (General)/Zinc","3","researched_no_channel"
"Govinda Construction and Investments Limited","critical_battery","18335","1","0","Manganese/Silver/Zinc","1","never_researched"
"Wushuang Mining Company Limited","gemstones","18317","3","0","Gold/Silver/Cobalt","0","researched_no_channel"
"Zambian Goldcommon Resources Holdings Ltd","critical_battery","18237","1","0","Iron Ore/Nickel/Uranium","0","never_researched"
"Chimban  Investments Limited","gemstones","18124","1","0","Lithium/Iron Ore/Gold","1","never_researched"
"EASYPATH INVESTMENTS LIMITED","base_metals","18117","1","0","Anhydrite/Gypsum/Copper","0","researched_no_channel"
"MINEGEM RESOURCES LIMITED","critical_battery","18020","1","0","Nickel/Manganese/Zinc","1","never_researched"
"DONZAM EXPLORATION & MINING ZAMBIA LIMITED","gemstones","17950","3","0","Iron Ore/Nickel/Zinc","0","researched_no_channel"
"BHAVANI MINING LIMITED","critical_battery","17931","1","0","Manganese/Lead/Zinc","0","never_researched"
"CENTICUS ENERGY LIMITED","gemstones","17903","1","0","Nickel/Manganese/Quartz","0","researched_no_channel"
"African Brothers Corporation Limited","critical_battery","17801","3","1","Copper/Zinc/Lead","2","researched_no_channel"
"Fankel Mineral Resources Limited","critical_battery","17788","3","0","Silver/Gold/Copper","0","researched_no_channel"
"GOLD HARVEST MINERALS LIMITED","gemstones","17772","2","0","Gold/Sugilite/Nickel","0","researched_no_channel"
"Madi Resources Limited","critical_battery","17680","2","0","Quartz/Nickel/Zinc","2","researched_no_channel"
"LIIBAN INVESTMENTS ZAMBIA LIMITED","critical_battery","17519","1","0","Manganese/Limestone (General)/Silver","0","never_researched"
"Happy Time Investments Limited","gemstones","17467","3","0","Iron Ore/Copper/Gold","0","researched_no_channel"
"Afrimuk Company Limited","gemstones","17452","5","0","Gold/Iron Ore/Manganese","0","researched_no_channel"
"Mkushi Stones Zambia Limited","gemstones","17322","1","0","Nickel/Manganese/Quartz","1","never_researched"
"Longhorn Global Commodities Limited","gemstones","17292","1","0","Silver/Tourmaline/Zinc","0","never_researched"
"Opulent Wealthy Investment Limited","critical_battery","17233","3","1","Quartz/Iron Ore/Manganese","2","researched_no_channel"
"Zamco Global Tradings Limited","base_metals","17225","1","0","Silver/Zinc/Cobalt","0","researched_no_channel"
"Kaoma Mining Limited","gold","17083","1","0","Silver/Zinc/Gold","0","never_researched"
"Yetu Mining Limited","critical_battery","16948","2","0","Silver/Manganese/Gold","0","researched_no_channel"
"Global Blessing Exploration Limited","critical_battery","16916","1","0","Lithium/Nickel/Uranium","1","never_researched"
"Lupande Investements Limited","gemstones","16843","3","0","Gypsum/Iron Ore/Gold","2","researched_no_channel"
"Simum General Dealers and Construction Limited","gemstones","16769","3","0","Copper/Gold/Manganese","0","researched_no_channel"
"Grandrock Resources Limited","critical_battery","16765","3","0","Nickel/Gold/Copper","0","researched_no_channel"
"Virunga Biotech and Mining Limited","critical_battery","16597","2","0","Lead/Manganese/Zinc","2","researched_no_channel"
"Tiger Zambezi Investment Limited","gemstones","16484","4","1","Gold/Copper/Nickel","1","researched_no_channel"
"Yatani Holdings Limited","critical_battery","16450","1","0","Manganese/Silver/Zinc","0","never_researched"
"PATCHO Continental Resources Limited","critical_battery","16412","2","0","Gold/Nickel/Cobalt","0","researched_no_channel"
"Mbadwa Mining Limited","gemstones","16400","2","0","Gold/Lithium/Cobalt","2","researched_no_channel"
"CBK Holding and Mineral Resources Limited","gemstones","16398","1","0","Manganese/Mica/Limestone (General)","0","never_researched"
"City Junction Limited","critical_battery","16366","1","0","Manganese/Silver/Zinc","1","never_researched"
"Golden Nuggets Investments Limited","gemstones","16310","3","1","Copper/Quartz/Gold","2","researched_no_channel"
"RANONG MINING AND MINERALS COMPANY LIMITED","gemstones","16283","2","0","Malachite/Lead/Tin","0","researched_no_channel"
"Sezic Minerals Limited","critical_battery","16068","1","0","Manganese/Nickel/Lead","0","never_researched"
"Tantalum Niobium Mining Company Limited","gemstones","15979","1","0","Copper/Gold/Lead","0","never_researched"
"MAY FLOWERS MINING LIMITED","gemstones","15912","4","0","Gold/Copper/Silver","0","researched_no_channel"
"Tasdemir Mining Limited","critical_battery","15908","1","0","Lead/Manganese/Zinc","1","never_researched"
"Gold Co Corporation Zambia Limited","critical_battery","15889","1","0","Molybdenum/Iron Ore/Tin","0","researched_no_channel"
"Kingda Mining Limited","gemstones","15838","3","1","Quartz/Iron Ore/Lithium","1","researched_no_channel"
"Kadaiah Resources Limited","critical_battery","15798","4","0","Manganese/Lead/Zinc","2","researched_no_channel"
"Abilene Mining Limited","gemstones","15774","2","0","Iron Ore/Zinc/Gold","0","never_researched"
"Jeal Investments Limited","gemstones","15770","2","0","Iron Ore/Gold/Copper","0","never_researched"
"Interprochan Developments Limited","gemstones","15732","2","0","Limestone (General)/Lead/Iron Ore","1","researched_no_channel"
"AMPERSAND INVESTMENTS LIMITED","gemstones","15717","2","0","Gold/Cobalt/Copper","1","never_researched"
"KAYANGES VENTURES LIMITED","critical_battery","15672","1","0","Manganese/Lithium/Zinc","1","never_researched"
"Luwi Business Resources Limited","critical_battery","15672","1","0","Silver/Manganese/Tin","0","never_researched"
"DAWOOD GEMS AND JEWELRY LIMITED","gemstones","15651","1","0","Lead/Iron Ore/Manganese","0","never_researched"
"Huo Yan Investment Limited","gemstones","15565","4","0","Copper/Gold/Zinc","0","researched_no_channel"
"NASH INVESTMENTS LIMITED","gemstones","15498","4","0","Copper/Gold/Cobalt","0","researched_no_channel"
"Brick Smart Zambia Investment Limited","gemstones","15457","1","0","Lead/Iron Ore/Manganese","0","never_researched"
"Tasheni Mining and Engineering Solutions Limited","critical_battery","15449","1","0","Nickel/Manganese/Silver","1","never_researched"
"Headframe Resources (Z) Ltd","critical_battery","15341","2","0","Rare EarthsElements/Nickel/Zinc","1","never_researched"
"CJZ Mineral Resources Limited","critical_battery","15167","1","0","Quartz/Nickel/Silver","0","never_researched"
"Treasures of Wealth Mining Limited","gemstones","15125","5","0","Gold/Copper/Quartz","5","researched_no_channel"
"Hwaeuro Investments Limited","critical_battery","15113","1","0","Manganese/Lead/Nickel","0","never_researched"
"Maliot Goldhill Zambia Limited","critical_battery","15091","2","0","Gold/Lead/Cobalt","1","never_researched"
"Eastern Granites Limited","gold","15082","2","0","Limestone (General)/Gold/Amazonite","1","never_researched"
"Huake Mining Zambia Company Limited","critical_battery","15011","5","1","Copper/Gold/Manganese","0","researched_no_channel"
"Quality Beef Trading and General Dealers Limited","critical_battery","14906","1","0","Malachite/Limestone (General)/Nickel","0","never_researched"
"Maxglobal Ferro Alloys Limited","critical_battery","14903","2","1","Manganese","2","researched_no_channel"
"Karma Rean Investments Limited","gold","14893","1","0","Iron Ore/Silver/Gold","0","never_researched"
"Myth Minerals Limited","critical_battery","14886","3","0","Gold/Silver/Cobalt","2","researched_no_channel"
"Kabotu Resources Limited","critical_battery","14797","1","0","Iron Ore/Manganese/Copper","1","never_researched"
"Kafre Enterprises Limited","gold","14725","1","1","Silver/Zinc/Gold","1","researched_no_channel"
"Mpanga Yabusasa Investment Limited","critical_battery","14699","1","0","Lead/Lithium/Manganese","0","never_researched"
"Clestmark Investment Limited","gemstones","14514","1","0","Lead/Iron Ore/Manganese","0","never_researched"
"Vietnam Zambia Corporation Limited","critical_battery","14468","2","0","Nickel/Quartz/Silver","2","never_researched"
"SGC Investments Limited","critical_battery","14285","2","0","Lithium/Limestone (General)/Lead","0","never_researched"
"Clestmark Hardware Suppliers Limited","critical_battery","14280","5","0","Gold/Copper/Cobalt","0","researched_no_channel"
"Afwino Investment Limited","gemstones","14279","2","0","Iron Ore/Lead/Tourmaline","0","never_researched"
"Coolstone Resources Limited","base_metals","14232","1","0","Copper/Cobalt","1","researched_no_channel"
"Mfumu Property Group Limited","critical_battery","14180","1","0","Gold/Fluorine-Fluorite/Quartz","0","never_researched"
"LUKANKO INVESTMENTS LIMITED","gemstones","14174","2","0","Zinc/Copper/Gold","0","researched_no_channel"
"Dcvictory Investements Limited","critical_battery","14119","1","0","Manganese/Lead/Zinc","0","never_researched"
"Panda Mineral Resources Limited","critical_battery","14046","2","0","Silver/Gold/Copper","1","never_researched"
"One Candle (Zambia) Limited","critical_battery","14025","1","0","Manganese/Lead/Nickel","0","never_researched"
"Mohafra Mining Limited","gemstones","13959","7","2","Copper/Manganese/Iron Ore","5","researched_no_channel"
"Sumwa Construction and Suppliers Limited","gold","13832","1","0","Gold/Zinc/Cobalt","0","never_researched"
"JC Infinity Stone Zambia Limited","critical_battery","13667","1","0","Platinum Group Metals/Molybdenum/Quartz","1","never_researched"
"Red Rats Minerals Limited","critical_battery","13624","1","0","Iron Ore/Manganese/Nickel","1","never_researched"
"Headframe Resources (Zambia) Limited","critical_battery","13549","1","0","Nickel/Lead/Zinc","1","never_researched"
"Cz Environmental Solutions Limited","gemstones","13499","2","0","Quartz/Precious Gems/Rare EarthsElements","2","never_researched"
"Pasture Mining Company Limited","gemstones","13488","1","0","Gold/Manganese/Copper","1","never_researched"
"Marriot Industries Limited","critical_battery","13482","3","0","Iron Ore/Manganese/Copper","3","researched_no_channel"
"Lukamantano Energy Company Limited","energy_minerals","13407","1","0","Iron Ore/Lead/Zinc","0","researched_no_channel"
"Devaberakhah Mining Zambia Limited","gemstones","13346","1","0","Nickel/Lead/Zinc","0","never_researched"
"Afreca Gold City Limited","critical_battery","13321","1","0","Lithium/Tungsten/Zinc","0","researched_no_channel"
"Super Rising Sun Mining Company Limited","critical_battery","13083","3","0","Iron Ore/Manganese/Gold","0","researched_no_channel"
"ADYA Enterprises Limited","critical_battery","13029","3","1","Manganese/Copper/Cobalt","0","researched_no_channel"
"Greenhub Enterprises Limited","critical_battery","12977","1","0","Manganese/Zinc/Gold","0","never_researched"
"Hillington Mining Zambia Limited","critical_battery","12955","2","0","Nickel/Manganese/Silver","0","never_researched"
"Chrizo General Dealers Limited","critical_battery","12943","2","0","Copper/Cobalt/Limestone (General)","0","never_researched"
"Homeland Builder Limited","critical_battery","12931","1","0","Tantalum/Niobium (Columbium)/Tungsten","0","never_researched"
"Aspire Mining Limited","critical_battery","12898","1","0","Manganese/Nickel/Iron Ore","0","never_researched"
"Kabundi Manganese Company Limited","unknown","12862","1","0","","0","researched_no_channel"
"Shree  Agro Farm Limited","gemstones","12593","1","0","Quartz/Manganese/Rare EarthsElements","1","never_researched"
"Sudha Mining Resources Zambia Limited","critical_battery","12542","1","0","Manganese/Limestone (General)/Sand","0","researched_no_channel"
"Pydustone Resources Limited","gemstones","12486","1","0","Lead/Iron Ore/Zinc","1","never_researched"
"Truststars Mining Investments Limited","gemstones","12468","3","0","Nickel/Iron Ore/Copper","1","researched_no_channel"
"Jilham Civil Cross Engineering Limited","gemstones","12431","2","0","Nickel/Molybdenum/Gold","2","never_researched"
"Bans Countrywide Tours Limited","critical_battery","12424","1","0","Rare EarthsElements/Silica/Platinum Group Metals","0","researched_no_channel"
"Alcor International Limited","critical_battery","12356","4","0","Quartz/Gold/Iron Ore","4","researched_no_channel"
"Litinta Resources Limited","critical_battery","12237","2","0","Copper/Cobalt/Manganese","0","researched_no_channel"
"Kalomo Resources Limited","gemstones","12222","1","0","Nickel/Tantalum/Lithium","0","never_researched"
"jiwei mining zambia limited","gemstones","12198","3","0","Lead/Nickel/Zinc","0","researched_no_channel"
"Fahrenheit Twenty Four Limited","gemstones","12185","2","0","Gold/Iron Ore/Cobalt","0","never_researched"
"MSANZALA RESOURCES LIMITED","gemstones","12175","2","0","Nickel/Manganese/Zinc","0","researched_no_channel"
"YUE ZAN MINING COMPANY LIMITED","gemstones","12161","2","0","Gold/Copper/Platinum","0","never_researched"
"TUGWASHANE MINING LIMITED","critical_battery","12145","2","0","Copper/Coal/Zinc","0","researched_no_channel"
"Sino West Mining Company","critical_battery","12079","1","0","Manganese/Silver/Gold","0","never_researched"
"Abdahom Mining Limited","critical_battery","12073","2","0","Iron Ore/Anhydrite/Manganese","0","never_researched"
"NYAMAZA INVESTMENTS LIMITED","gemstones","12037","1","0","Lead/Iron Ore/Nickel","1","never_researched"
"Chem Mining Limited","gold","12020","2","0","Gold/Copper/Anhydrite","1","never_researched"
"Chikaso Industries Limited","critical_battery","11904","3","0","Gold/Copper/Cobalt","0","researched_no_channel"
"KELINK GENERAL DEALERS LIMITED","critical_battery","11881","1","0","Sugilite/Silver/Titanium","1","researched_no_channel"
"Solid Connections Zambia Limited","critical_battery","11847","1","0","Nickel/Manganese/Quartz","0","never_researched"
"Malica Enterprises Limited","gemstones","11832","1","0","Lithium/Manganese/Kyanite","0","never_researched"
"Sachi Ventures Limited","critical_battery","11831","1","0","Silver/Platinum/Manganese","1","never_researched"
"BRAJOC MINERALS RESOURCES SUPPLY LIMITED","critical_battery","11809","3","0","Gold/Copper/Zinc","0","researched_no_channel"
"Afron Mining Limited","gemstones","11738","4","0","Iron Ore/Lead/Zinc","1","researched_no_channel"
"Jomoas Corporation Limited","gold","11642","2","0","Gold/Cobalt/Copper","2","never_researched"
"B.C.N INTERNATIONAL LIMITED","gemstones","11585","1","0","Gold/Lithium/Copper","0","never_researched"
"Litohonolo Resources Limited","gemstones","11512","3","0","Copper/Zinc/Manganese","1","researched_no_channel"
"Ahadi Mining Limited","gemstones","11489","3","0","Lithium/Lead/Manganese","3","researched_no_channel"
"Tawakkal Gems Investments Co. Limited","gemstones","11423","4","1","Copper/Gold/Zinc","2","researched_no_channel"
"Sixtus Trading Limited","gemstones","11399","4","0","Gold/Copper/Rare EarthsElements","0","researched_no_channel"
"Musulumba Investments Limited","critical_battery","11398","2","0","Gold/Copper/Iron Ore","2","researched_no_channel"
"LSS Corporate World Limited","gemstones","11230","1","0","Nickel/Platinum Group Metals/Granite","0","never_researched"
"Green Earth Metals Limited","critical_battery","11217","1","0","Rare EarthsElements/Nickel/Zinc","1","never_researched"
"KUYUMA YUMA INVESTMENTS LIMITED","critical_battery","11181","3","0","Gold/Manganese/Cobalt","3","researched_no_channel"
"Pacific Blues Mining Limited","critical_battery","11125","3","0","Lead/Iron Ore/Zinc","2","researched_no_channel"
"The Diamond Rock Mining Limited","critical_battery","11125","1","0","Limestone (General)/Lead/Silver","1","never_researched"
"Makeni College School of Nursing","critical_battery","11073","1","0","Tantalum/Thallium/Silver","0","never_researched"
"Regal Ferro Alloys Limited","critical_battery","11056","2","1","Manganese/Silver/Iron Ore","2","researched_no_channel"
"Sinseong Development Company Limited","gemstones","11053","2","0","Gold/Copper/Cobalt","0","never_researched"
"Adonai Exploration and Mining Company Limited","gemstones","10866","1","0","Tin/Tourmaline/Copper","1","never_researched"
"Rahmid Engineering Limited","gold","10762","1","0","Gold/Copper/Cobalt","0","never_researched"
"Tumbo Mining And Exploration Limited","critical_battery","10704","1","0","Silver/Platinum/Tin","0","researched_no_channel"
"Brockworth Exploration & Mining Limited","industrial_minerals","10696","1","0","Anhydrite/Gypsum","0","researched_no_channel"
"Geophysics Explo Zambia Limited","critical_battery","10673","4","0","Manganese/Lead/Zinc","3","researched_no_channel"
"Safearth Mining Limited","critical_battery","10647","4","1","Manganese/Copper/Iron Ore","2","researched_no_channel"
"JOUVENCE PETROLEUM ZAMBIA LIMITED","gemstones","10603","2","0","Gold/Tourmaline/Manganese","0","never_researched"
"Leza Njavwa Resources Company Limited","critical_battery","10572","4","0","Manganese/Copper/Silver","4","researched_no_channel"
"KASCCO Limited","gemstones","10567","1","0","Lithium/Lead/Platinum","0","never_researched"
"CMRB Civil Service  and Consultancy Limited","critical_battery","10561","2","0","Nickel/Lithium/Quartz","2","never_researched"
"Daylight Technologies Zambia Limited","gemstones","10556","1","0","Niobium (Columbium)/Manganese/Silver","1","never_researched"
"Athena Energy Limited","critical_battery","10475","2","0","Lead/Manganese/Zinc","0","researched_no_channel"
"Baudot Cement Zambia Limited","industrial_minerals","10435","2","2","Limestone (General)","2","researched_no_channel"
"ECM PROPERTY GROUP LIMITED","critical_battery","10303","1","0","Malachite/Nickel/Zinc","0","never_researched"
"Josmas Enterprises Limited","gemstones","10293","2","0","Copper/Coal/Beryllium","1","researched_no_channel"
"Goldquest Resources Limited","gemstones","10290","1","0","Nickel/Mineral Sands/Sand and Gravel","1","never_researched"
"Teragem Mining Limited","gemstones","10270","3","0","Amethyst/Iron Ore/Gold","1","researched_no_channel"
"JOHSTEK MINING INVESTMENTS LIMITED","critical_battery","10203","1","0","Manganese/Nickel/Gold","0","never_researched"
"Zambian  Jiangte Mining  Company Limited","gemstones","10194","1","0","Tantalum/Lithium/Tungsten","0","never_researched"
"Sabi Minerals Limited","critical_battery","10185","4","3","Gold/Copper/Silver","4","researched_no_channel"
"LUNAREDGE VENTURES LIMITED","gemstones","10185","1","0","Manganese/Malachite/Lead","0","never_researched"
"Mundala Corporation Limited","critical_battery","10144","1","0","Magnesium (Brucit)/Limestone (General)/Lead","1","never_researched"
"Hatam Mining Company Limited","gemstones","10118","1","0","Lead/Iron Ore/Nickel","0","never_researched"
"Showplus Investments Limited","gemstones","10103","4","3","Amethyst/Aquamarine/Coal","4","researched_no_channel"
"ASTER SAPPHIRE IMPORT AND EXPORT LIMITED","gemstones","10093","1","0","Manganese/Lead/Nickel","0","never_researched"
"Peco Limited","critical_battery","10084","2","2","Manganese/Copper","1","researched_no_channel"
"North Western estates Limited","gemstones","10039","4","0","Gold/Zinc/Nickel","2","researched_no_channel"
"Truestone Mineral Processing Limited","critical_battery","10034","4","1","Lead/Manganese/Zinc","3","researched_no_channel"
"WEALTHYBAY MINING COMPANY LIMITED","critical_battery","10009","1","0","Nickel/Silver/Zinc","0","never_researched"
"Indica Resources Limited","gemstones","9958","4","0","Iron Ore/Zinc/Manganese","3","researched_no_channel"
"Liyez Enterprises Limited","critical_battery","9830","1","0","Lithium/Manganese/Copper","1","never_researched"
"Earthshine Mining Corporation Limited","critical_battery","9749","2","0","Copper/Gold/Niobium (Columbium)","0","never_researched"
"UPRISE INVESTMENT LIMITED","base_metals","9732","1","0","Copper","1","researched_no_channel"
"HONLOE SERVICES LIMITED","gemstones","9699","1","0","Manganese/Malachite/Limestone (General)","1","researched_no_channel"
"Afrimin Resources Limited","critical_battery","9690","1","0","Nickel/Platinum Group Metals/Gold","0","never_researched"
"Sherco investment limited","critical_battery","9671","5","0","Gold/Copper/Cobalt","0","researched_no_channel"
"Digidrill Exploration Resources Limited","critical_battery","9665","1","0","Manganese/Malachite/Quartz","0","never_researched"
"Momentsky Company Limited","gemstones","9642","5","2","Fluorine-Fluorite/Cobalt/Copper","4","researched_no_channel"
"Feliz Mineral Resources Limited","critical_battery","9638","2","0","Iron Ore/Lead/Gold","0","never_researched"
"Heartland Commodities Limited","critical_battery","9624","2","1","Rare EarthsElements/Silver/Zinc","1","researched_no_channel"
"Magnificent  Mining Limited","critical_battery","9539","1","0","Quartz/Marble/Zinc","0","never_researched"
"Triad Logistics","gemstones","9535","1","0","Limestone (General)/Manganese/Anhydrite","0","never_researched"
"NATRAJ MINING AND MINERALS LIMITED","critical_battery","9524","1","0","Limestone (General)/Manganese/Iron Ore","0","never_researched"
"Zaaminco Mining Limited","critical_battery","9487","1","0","Manganese/Lead/Zinc","0","never_researched"
"Hidden Treasure Zambia Company Limited","critical_battery","9467","1","0","Tin/Zinc/Gold","1","never_researched"
"Monoliths Mining Group Limited","gemstones","9432","2","0","Iron Ore/Gold/Zinc","0","never_researched"
"Emmacho Enterprises Limited","critical_battery","9382","1","0","Lead/Manganese/Zinc","1","never_researched"
"Muzuri Sana Mining Limited","critical_battery","9367","1","0","Nickel/Lead/Zinc","0","never_researched"
"Sun Park Development Limited","critical_battery","9351","1","0","Tin/Zinc/Silver","0","researched_no_channel"
"Tedafluo Investment Company Limited","critical_battery","9346","1","0","Scrap Mica/Quartz/Zinc","0","never_researched"
"Garbo Resource Zambia Limited","critical_battery","9324","1","0","Nickel/Lead/Zinc","0","never_researched"
"Beyond Borders Resources Limited","critical_battery","9303","1","0","Gold/Manganese/Cobalt","0","researched_no_channel"
"Rockvalley Mining Zambia Limited","gemstones","9296","1","0","Tantalum/Quartz/Tin","1","researched_no_channel"
"TSSG Mining Limited","gemstones","9276","5","0","Quartz/Tourmaline/Aquamarine","5","researched_no_channel"
"Marriott Industries Limited","critical_battery","9220","1","0","Iron Ore/Manganese/Copper","1","never_researched"
"Aman Processing Zambia Limited","gemstones","9197","2","1","Iron Ore/Anhydrite/Tantalum","1","researched_no_channel"
"Jedna Agri-Trade Limited","critical_battery","9182","1","0","Iron Ore/Anhydrite/Manganese","0","never_researched"
"LION ZONE DEVELOPMENT LIMITED","gemstones","9142","1","0","Rare EarthsElements/Sheet Mica/Manganese","0","never_researched"
"Moxico Amadoda Mining Limited","critical_battery","9141","1","0","Nickel/Manganese/Zinc","1","never_researched"
"Haoyang Resources Limited","gold","9128","3","1","Gold/Copper/Silver","1","researched_no_channel"
"V.L Investment Company Limited","gemstones","9111","1","0","Malachite/Lead/Nickel","0","never_researched"
"PETRUSHKA TRADING LINIITED","gemstones","9097","1","0","Gold/Nickel/Diamond","0","never_researched"
"Showplus Investment Limited","gemstones","8993","1","0","Tantalum/Lithium/Tin","1","never_researched"
"SOWETO MINING ZAMBIA LIMITED","critical_battery","8969","4","0","Gold/Copper/Nickel","0","researched_no_channel"
"Dabun Mining Company Limited","gold","8941","1","0","Gold/Copper/Cobalt","0","researched_no_channel"
"Jing De Zham Enterprises Ltd","critical_battery","8935","1","0","Platinum Group Metals/Nickel/Silver","1","never_researched"
"Geohunters Mining Limited","gemstones","8910","3","0","Quartz/Niobium (Columbium)/Tantalum","0","researched_no_channel"
"Southern Africa Copper Company Limited","gemstones","8909","4","0","Iron Ore/Manganese/Zinc","4","researched_no_channel"
"maraed Mining Contractors and General Suppliers Limited","critical_battery","8862","1","0","Iron Ore/Manganese/Copper","1","never_researched"
"Morton Enterprises Limited","critical_battery","8835","2","0","Manganese/Zinc/Copper","0","never_researched"
"Xingda Company Limited","critical_battery","8829","1","0","Manganese/Sand and Gravel/Copper","1","never_researched"
"Southern Latitude Company Limited","gemstones","8798","1","0","Tantalum/Quartz/Vanadium","1","never_researched"
"Ofia Investments Limited","critical_battery","8794","2","0","Nickel/Silver/Gold","1","never_researched"
"Luongo Mineral Resources Limited","gemstones","8785","1","0","Platinum/Rubidium/Manganese","0","researched_no_channel"
"Ashvan Construction Limited","gemstones","8748","1","0","Gold/Silver/Tourmaline","0","never_researched"
"Cabral Mining Minerals Limited","critical_battery","8712","1","0","Manganese/Silver/Zinc","0","never_researched"
