"holder","segment","hectares","licenses","mining_lics","main_commodities","lics_in_default_2025","status"
"BURJ FUND RESOURCES LIMITED","critical_battery","99849","5","0","Copper/Gold/Nickel","0","researched_no_channel"
"STRIKING STAR MINERAL RESOURCES LIMITED","gemstones","98405","2","0","Lead/Iron Ore/Zinc","2","researched_no_channel"
"Pesamu Investments Limited","critical_battery","97712","3","0","Iron Ore/Manganese/Gold","2","researched_no_channel"
"Matpet Holdings Limited","critical_battery","96611","2","0","Iron Ore/Manganese/Cobalt","2","researched_no_channel"
"Menel Energy & Resources Limited","gold","96168","1","0","Lead/Quartz/Zinc","0","never_researched"
"Johnny's Trading co. Limited","critical_battery","96008","1","0","Manganese/Tin/Gold","0","never_researched"
"DAHKANY MINING RESOURCES LIMITED","gemstones","95592","2","0","Copper/Tantalum/Tungsten","0","researched_no_channel"
"Crescent Industries Limited","gemstones","95109","3","0","Iron Ore/Copper/Gold","2","researched_no_channel"
"Dongsen Mining & Investment Limited","gemstones","94683","1","0","Ruby/Quartz/Zinc","1","researched_no_channel"
"Southern African Rare Metals Mining Company Limited","critical_battery","94518","3","1","Tantalum/Tin/Rare EarthsElements","0","researched_no_channel"
"Annapoorna Minerals Limited","critical_battery","93421","4","0","Sand/Manganese/Limestone (General)","0","researched_no_channel"
"Gandi Natural Resources Company Zambia Limited","gemstones","93098","5","0","Gold/Copper/Silver","0","researched_no_channel"
"Stalwart Investments Limited","critical_battery","91406","2","0","Gold/Manganese/Iron Ore","2","researched_no_channel"
"Chenjelani Resources Limited","gemstones","91336","4","0","Manganese/Gold/Iron Ore","3","researched_no_channel"
"Rigid Engine Recondition Limited","critical_battery","91235","2","0","Iron Ore/Manganese/Copper","1","researched_no_channel"
"Anzan Enterprises Ltd","gemstones","90259","2","0","Platinum/Iron Ore/Zinc","0","researched_no_channel"
"WEIJU INVESTMENT LIMITED","gemstones","90061","4","0","Lead/Gold/Silver","2","researched_no_channel"
"Nswachu Resources Limited","critical_battery","89992","4","0","Manganese/Copper/Cobalt","4","researched_no_channel"
"EARTHZONE MINING LIMITED","gemstones","89929","3","0","Gold/Fluorine-Fluorite/Tin","0","researched_no_channel"
"GOLDEN GRIDLINES SOLUTIONS LIMITED","gemstones","89491","3","0","Copper/Cobalt/Gold","0","researched_no_channel"
"BUILDCREST INVESTMENTS LIMITED","gemstones","89054","4","0","Gold/Manganese/Lead","0","researched_no_channel"
"KPR Investments Limited","critical_battery","88396","1","0","Nickel/Manganese/Zinc","0","never_researched"
"Sri Karthikeya Minerals Trading Limited","critical_battery","87532","2","0","Lead/Manganese/Zinc","0","researched_no_channel"
"Lunsongwa and Mining  Exploration  Resources Limited","critical_battery","87354","1","0","Nickel/Zinc/Gold","0","never_researched"
"Franciscan Minerals Zambia Limited","critical_battery","86132","3","0","Tin/Zinc/Nickel","3","researched_no_channel"
"CCGM Geology and Mining (Z) Ltd","critical_battery","85678","1","0","Manganese/Gold/Copper","0","never_researched"
"Zaco Investments Limited","critical_battery","85547","4","2","Zinc/Silver/Gold","0","researched_no_channel"
"Winzan Mining Limited","critical_battery","84382","2","0","Lead/Zinc/Gold","0","researched_no_channel"
"Beker Mining Limited","critical_battery","84261","1","0","Nickel/Lead/Zinc","1","never_researched"
"Melesa Mining Limited","gemstones","83388","1","0","Manganese/Iron Ore/Tourmaline","0","never_researched"
"Zamdouble Investements Limited","critical_battery","82891","4","0","Zinc/Copper/Cobalt","2","researched_no_channel"
"Africa Prospect Development Zambia Limited","gemstones","82657","2","0","Garnet/Feldspar/Corundum","1","researched_no_channel"
"Namonde Mining Limited","gemstones","82644","4","0","Iron Ore/Lead/Zinc","2","researched_no_channel"
"Worthy Ventures Limited","critical_battery","82581","1","0","Limestone (General)/Lead/Zinc","1","never_researched"
"Jingneng Mining Limited","gemstones","82163","4","0","Copper/Zinc/Gold","0","researched_no_channel"
"Butala Capital Company Limited","critical_battery","81895","3","1","Zinc/Lead/Copper","2","researched_no_channel"
"Camland Construction Limited","gold","81662","1","0","Gold/Zinc/Cobalt","1","never_researched"
"Copperbelt Chemicals Zambia Limited","critical_battery","81311","1","0","Iron Ore/Manganese/Rare EarthsElements","0","researched_no_channel"
"Solplus Holdings Limited","gemstones","80386","3","0","Amethyst/Quartz/Ruby","1","researched_no_channel"
