"segment","holder","licenses","mining_lics","hectares","main_commodities","lics_in_default_2025","lics_cancelled_2024"
"critical_battery","Anglo Exploration Zambia Limited","1","0","4833","Rare EarthsElements/Manganese/Uranium","0","0"
"critical_battery","Athena Energy Limited","2","0","10475","Lead/Manganese/Zinc","0","0"
"critical_battery","Azarel Investments Limited","1","1","397","Iron Ore/Tantalum/Tin","1","0"
"critical_battery","Bans Countrywide Tours Limited","1","0","12424","Rare EarthsElements/Silica/Platinum Group Metals","0","0"
"critical_battery","Beyond Borders Resources Limited","1","0","9303","Gold/Manganese/Cobalt","0","0"
"critical_battery","Big 3 Lithium Investments Limited","1","0","28549","Tin/Titanium/Niobium (Columbium)","1","0"
"critical_battery","Bonway Investments Limited","1","0","2006","Nickel/Manganese/Uranium","1","0"
"critical_battery","Brimamwa Mining and Explorations Limited","3","0","1592","Gold/Lead/Manganese","1","3"
"critical_battery","Cales Investment Limited","1","0","959","Silver/Nickel/Zinc","1","0"
"critical_battery","Century Minerals And Metals Mining Limited","1","0","32666","Nickel/Manganese/Limestone (General)","0","0"
"critical_battery","CHAKRA MINES AND MINERALS LIMITED","1","0","819","Manganese/Zinc/Gold","0","0"
"critical_battery","Changa-Changa Exploration Limited","1","0","6911","Lead/Manganese/Zinc","0","1"
"critical_battery","Chikola Royal Establishment Resources Limited","1","0","365","Manganese/Lead/Zinc","0","0"
"critical_battery","Chitina Copper Mines Limited","1","0","3271","Gold/Manganese/Cobalt","0","0"
"critical_battery","Clito Construction Limited","2","0","5025","Iron Ore/Manganese/Zinc","2","0"
"critical_battery","Copper Rockfield Mines Ltd","1","0","229","Silver/Tin/Uranium","1","0"
"critical_battery","Copperbelt Chemicals Zambia Limited","1","0","81311","Iron Ore/Manganese/Rare EarthsElements","0","0"
"critical_battery","Day Break Mining and Exploration Limited","2","0","197","Malachite/Lead/Iron Ore","0","0"
"critical_battery","DIMARBU RESOURCES LIMITED","1","0","331","Limestone (General)/Manganese/Silica","1","0"
"critical_battery","Duwaco Mining Minerals Limited","1","0","396","Manganese","1","1"
"critical_battery","Epitomatic General Trade Limited","1","0","80","Nickel/Manganese/Malachite","0","0"
"critical_battery","Feldon & Camara Mining Limited","2","0","5984","Nickel/Zinc/Iron Ore","0","0"
"critical_battery","Fiand Mineral Processing Limited","1","0","220","Lead/Manganese/Silver","1","0"
"critical_battery","Filtrak Zambia Limited","1","0","8392","Iron Ore/Manganese/Silver","0","0"
"critical_battery","Firmato Investiment Limited","1","0","982","Manganese/Zinc/Iron Ore","1","0"
"critical_battery","Front Runners Solutions Limited","1","0","730","Platinum/Manganese/Tantalum","0","0"
"critical_battery","Gladpal Investment Limited","1","1","17","Lead/Manganese/Zinc","1","0"
"critical_battery","Gold Co Corporation Zambia Limited","1","0","15889","Molybdenum/Iron Ore/Tin","0","0"
"critical_battery","GoodRock Zambia Limited","1","1","110","Manganese","0","1"
"critical_battery","Gracious Green Farm Limited","2","0","7959","Lead/Iron Ore/Zinc","0","0"
"critical_battery","Hartebeest Resources Limited","1","0","11","Lead/Iron Ore/Manganese","1","1"
"critical_battery","Hillpot Mining Multipurpose Cooperative","1","1","7","Manganese/Gold/Copper","1","0"
"critical_battery","Huacheng Mining Zambia Limited","1","1","30","Manganese","0","1"
"critical_battery","Integrity Mining Limited","1","0","952","Nickel/Zinc/Gold","0","0"
"critical_battery","Jamboree Investments Limited","2","0","1946","Nickel/Manganese/Zinc","2","2"
"critical_battery","Jaswin Alloys Manufacturing Limited","1","1","10","Silica/Manganese/Iron Ore","1","0"
"critical_battery","Jufa Transport & Logistics Limited","2","0","2885","Silver/Zinc/Gold","0","0"
"critical_battery","Kajila-Nkeke Mining Multi-Purpose Co-Operative Society Limited","1","1","7","Nickel/Magnesite/Quartz","0","0"
"critical_battery","Kaka Eagles Eye Investment Limited","1","0","2","Manganese/Copper","0","0"
"critical_battery","Kalonga Community Muilti-Purpose Co-operative Society","1","1","7","Silver/Tin/Zinc","1","0"
"critical_battery","KANONGO MINING LIMITED","1","0","160","Manganese/Limestone (General)/Zinc","0","0"
"critical_battery","Katema Malolwa Resources Limited","1","0","2000","Manganese/Nickel/Rare EarthsElements","1","0"
