"holder","licenses","mining_lics","hectares","main_commodities","score"
"Tubombeshe Mining Limited","3","3","257","Emerald/Copper/Cobalt","14.4098714389953"
"Ever Great Energy Company Limited","4","2","25291","Gold/Limestone (General)/Phosphorus-Phosphates","14.4029598196549"
"Maamba Colieries Limited","4","2","19497","Tantalum/Lithium/Amethyst","14.2899751913584"
"Kuma Mining Company Limited","4","2","17520","Granite/Marble/Limestone (General)","14.2435391586562"
"Curprite Geoservices Limited","6","1","152543","Gold/Copper/Cobalt","14.1833928600343"
"Euro Africa Kalengwa Mines Limited","3","2","149593","Gold/Iron Ore/Silver","14.1749104394464"
"Khadela Mining Limited","3","3","109","Amethyst/","14.0392514761794"
"African Pearl Estates Limited","6","1","53996","Gold/Copper/Cobalt","13.7323577947295"
"Pridegems Mines Limited","3","2","51091","Emerald/Copper/Gold","13.7083460913544"
"Dason Zambia Limited","3","2","49731","Gold/Copper/Cobalt","13.6966256246391"
"DAS Overseas Limited","3","2","45831","Manganese/Tin/Zinc","13.6611588784984"
"Goviex Uranium Zambia Limited","3","2","45462","Uranium/Sand and Gravel/","13.6576516270338"
"Freca Mining & Manufacturing Limited","3","2","32964","Copper/Nickel/Silver","13.518041608968"
"Tauraus Mineral Resources Limited","6","1","27651","Gold/Copper/Cobalt","13.4417172848798"
"Eagles Eye Transformation Limited","3","2","24074","Copper/Cobalt/Manganese","13.3815398711274"
"CHALO MBANTHU YOUNG WOMEN MULTI-CO-OPERATIVE SOCIETY LIMITED","3","3","20","Gold/Quartz/Copper","13.3043095340297"
"Learn To Share Mining Co-Operative Society Limited","3","3","20","Gold/Quartz/Tin","13.3035718512041"
"Mukala Mineral co-operative Society Limited","3","3","20","Copper/Cobalt/Gold","13.3033926338101"
"ZAMSERE YOUTHS MINING COOPERATIVE SOCIETY LIMITED","3","3","20","Quartz/Manganese/Iron Ore","13.3018977171952"
"LELO Mult-Purpose Co-operative Society Limited","3","3","20","Manganese/Gold/Copper","13.2976642336413"
"Luiri Miners Cooperative Society","3","3","20","Gold/Copper/Silver","13.2967397596794"
"MineralXplore Multi-Purpose  Cooperative Society limited","3","3","20","Sand/Limestone (General)/Gold","13.2966651902615"
"Lyon Investment Zambia Limited","5","1","179899","Manganese/Gold/Copper","13.2550298652883"
"Makaasa Multi-Purpose Co-operative Society Limited","3","3","17","Quartz/Nickel/Rare EarthsElements","13.2242351437169"
"Grizzly Copper Mines Limited","3","2","15798","Copper/Gold/Silver","13.1986119014856"
"Chiponde Mining Company Limited","5","1","147381","Aquamarine/Copper/Manganese","13.1684408158871"
"Zambian Anglo Mkushi Limited","5","1","126058","Gold/Copper/Manganese","13.1005711752185"
"Sendwe Investments Limited","5","1","70697","Gold/Nickel/Cobalt","12.8494031357415"
"Kavuluvulu Ventures Limited","3","2","7002","Coal/Quartz/Nickel","12.8452478829829"
"Avocado Mining Limited","5","1","69764","Copper/Gold/Iron Ore","12.8436311592704"
"Ulubwe Mining Limited","5","1","60417","Gold/Copper/Zinc","12.7811589797925"
"Bountiful Blessing Investments Limited","2","2","49058","Gold/Nickel/Copper","12.6907120077829"
"Kabula Mining Resources Limited","2","2","41621","Copper/","12.6193147163532"
"Zejun Investment Limited","3","2","4001","Quartz/Beryllium/Tourmaline","12.6021981509964"
"Suhails International Limited","2","2","39206","","12.5933470589543"
"Ndola Quarries Limited","3","2","3872","Limestone (General)/Zinc/Silver","12.5879256352266"
"OSPREY RESOURCES LIMITED","2","2","35560","Silver/Uranium/Gold","12.5509665751873"
"Metacorp Exploration and Mining Investment Limited","6","1","3190","Copper/Gold/Iron Ore","12.503814262293"
"Nakuru Logistics Limited","5","1","30155","Copper/Gold/Nickel","12.4793547241195"
"Mopani Copper Mines Plc","2","2","28547","","12.455557500824"
"Tawansangthong Mining Limited","2","2","25299","Tin/Tantalum/Aquamarine","12.4031077032914"
"Gulf Africa MInerals Limited","3","2","2020","Gold/Nickel/Manganese","12.3053089054102"
"Luwan Excellency Investments Limited","5","1","18362","Silver/Limestone (General)/Zinc","12.2639251391191"
"Mulangi Investments Limited","3","2","1652","Tungsten/Tin/Titanium","12.2179179428095"
"Huake Mining Zambia Company Limited","5","1","15011","Copper/Gold/Manganese","12.1764162560621"
"Zambian Weiye Limited","5","1","14208","Nickel/Silver/Coal","12.1525450497007"
"Rudra Copper Limited","4","1","113148","Copper/Gold/Cobalt","12.0536479077577"
"Sichipema Resources Limited","6","1","1082","Gold/Manganese/Cobalt","12.0342165036206"
"Baudot Cement Zambia Limited","2","2","10435","Limestone (General)","12.0185095876143"
"Peco Limited","2","2","10084","Manganese/Copper","12.0036524495829"
"Prekas Company Limited","3","2","970","Iron Ore/Gold/Copper","11.9865852162282"
"Badiye Limited","3","2","797","Copper/Gold/Silver","11.9013111703589"
"Mulennsali Investment Limited","5","1","7677","Copper/Manganese/Quartz","11.8851921063151"
"Eagles Holding Limited","4","1","59800","Lead/Silver/Zinc","11.7767006625442"
"Broken Hill Marketing Limited","3","2","530","Copper/Manganese/Silver","11.72403341645"
"Salman mining Enterprises Limited","4","1","46115","Silver/Nickel/Platinum Group Metals","11.6638445673775"
"Sulwaitech Services Limited","8","0","4519","Copper/Zinc/Gold","11.6550122212581"
