"holder","declared_business","business_class","name_contradicts_declaration","entity_number","registration_date","hectares","licenses","mining_lics","main_commodities","beneficial_owner_declared","annual_return_filed","lics_in_default_2025"
"Tertiary Minerals  Zambia Limited","Other mining and quarrying n.e.c.","mining_related","no","120210017723","28/06/2021","4116","1","0","Iron Ore/Lead/Zinc","1","1","0"
"Finest Mineral Resources Company Limited","Mining of other non-ferrous metal ores","mining_related","no","120241008273","11/06/2024","4101","2","0","Gold/Copper/Amethyst","1","0","0"
"Lakki Reddy Mining Limited","Other mining and quarrying n.e.c.","mining_related","no","120220037623","16/08/2022","4054","4","0","Lead/Manganese/Zinc","1","1","0"
"Blue Copper Mining Limited"," Other mining and quarrying n.e.c.","mining_related","no","120210020730","16/09/2021","4034","2","1","Iron Ore/Manganese/Copper","1","0","2"
"Shuumbwa Resources Limited","Other mining and quarrying n.e.c.","mining_related","no","120220033797","31/05/2022","3983","1","0","Nickel/Quartz/Malachite","1","0","0"
"Kunigal Murthy Minerals limited","Mining of other non-ferrous metal ores","mining_related","no","120200000864","30/01/2020","3977","3","0","Lead/Manganese/Zinc","0","0","2"
"Huaxiang Investment Company Limited","Support activities for other mining and quarrying","mining_related","no","120241015610","12/11/2024","3975","1","0","Nickel/Manganese/Silver","1","1","0"
"Kameha Resources Limited","Other mining and quarrying n.e.c.","mining_related","no","120241005354","17/04/2024","3963","2","0","Coal/Amethyst/Zinc","1","0","0"
"Manvi Mining Associates Limited","Other mining and quarrying n.e.c.","mining_related","no","120241001197","25/01/2024","3937","6","0","Lead/Copper/Manganese","1","1","2"
"Zoomlion Copper Mine Company Limited","Other mining and quarrying n.e.c.","mining_related","no","120200009816","13/11/2020","3922","1","0","Manganese/Iron Ore/Quartz","1","0","1"
"Lyon Mining Zambia Limited","Other mining and quarrying n.e.c.","mining_related","no","120210018358","19/07/2021","3912","1","0","Quartz/Platinum/Tantalum","1","0","1"
"Bimbe Mines Limited"," Other mining and quarrying n.e.c.","mining_related","no","120210023461","09/11/2021","3847","1","0","Manganese/Lead/Uranium","1","0","1"
"WISKANSIK INVESTMENT LIMITED","Other mining and quarrying n.e.c.","mining_related","no","120251018924","20/01/2025","3756","1","0","Tin/Tungsten/Amethyst","1","1","0"
"Zuri Mineral Resources Limited","Mining of other non-ferrous metal ores","mining_related","no","120241011300","16/08/2024","3735","1","0","Nickel/Silver/Zinc","1","1","0"
"KSP Investements Limited","Other mining and quarrying n.e.c.","mining_related","no","120230052591","26/06/2023","3701","1","0","Iron Ore/Graphite/Zinc","1","0","1"
"Lochiku Logistics Limited","Mining of other non-ferrous metal ores","mining_related","no","120180009456","09/11/2018","3664","1","0","Manganese/Iron Ore/Tourmaline","0","0","1"
"Shamin Resources Limited","Mining of other non-ferrous metal ores","mining_related","no","120241004265","26/03/2024","3659","1","0","Manganese/Malachite/Nickel","1","0","0"
"Shimabu Mining Limited","Mining of other non-ferrous metal ores","mining_related","no","120180002053","13/03/2018","3653","1","0","Coal","0","0","0"
"WANTU RESOURCES COMPANY LIMITED","Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores","mining_related","no","120241012999","19/09/2024","3636","1","0","Quartz/Gold/Copper","1","1","0"
"Melaot Zones Mining and Engineering Limited","Other mining and quarrying n.e.c.","mining_related","no","120230045394","31/01/2023","3620","1","0","Lead/Manganese/Zinc","1","0","0"
"Gold Tree Investment Limited","Mining of other non-ferrous metal ores","mining_related","no","120210011483","08/01/2021","3585","1","0","Manganese/Limestone (General)/Quartz","1","0","0"
"Mwashia Resources Limited","Support activities for other mining and quarrying","mining_related","no","120200005174","02/07/2020","3573","1","0","Manganese/Nickel/Zinc","1","1","1"
"Musokamuka Kasempa Mining and Construction Limited","Support activities for other mining and quarrying","mining_related","no","120230058274","16/10/2023","3555","1","0","Gold/Copper","1","0","0"
"Marjohn Lukeka Mining & Exploration Company Limited","Mining of iron ores","mining_related","no","120160009342","20/12/2016","3555","1","0","Iron Ore/Manganese/Zinc","0","0","0"
"NAVEX MINING AND CONTRACTORS LIMITED","Support activities for other mining and quarrying","mining_related","no","120241003477","07/03/2024","3530","1","0","Nickel/Malachite/Zinc","1","1","0"
"Geonatics Investment Limited","Other mining and quarrying n.e.c.","mining_related","no","120210023459","09/11/2021","3529","2","0","Tin/Tantalum/Quartz","1","0","0"
"Ilambalimo Mining Limited","Mining of other non-ferrous metal ores","mining_related","no","120170008798","13/11/2017","3464","1","0","Nickel/Molybdenum/Marble","0","0","0"
"NSALU MINING LIMITED","Other mining and quarrying n.e.c.","mining_related","no","120230054914","15/08/2023","3405","1","0","Manganese/Nickel/Lead","1","0","0"
"NUBIACREEK RESOURCES LIMITED","Other mining and quarrying n.e.c.","mining_related","no","120230049297","17/04/2023","3393","2","0","Gold/Quartz/Cobalt","1","0","1"
"JINDI MINING LIMITED","Other mining and quarrying n.e.c.","mining_related","no","120241013987","10/10/2024","3376","1","0","Nickel/Manganese/Silver","1","0","0"
"Leopard Exploration and Mining Limited","Support activities for other mining and quarrying","mining_related","no","120070066134","04/04/2007","3320","1","1","Zinc/Lead","0","0","1"
"Dr Ice Enterprise Limited","Wholesale of metals and metal ores","mining_related","no","120210013643","05/03/2021","3299","1","0","Manganese/Tourmaline/Zinc","1","0","1"
"Arcon Mining Limited","Mining of iron ores","mining_related","no","120241001745","06/02/2024","3280","4","0","Gold/Copper/Lead","1","0","1"
"Chitina Copper Mines Limited","Mining of other non-ferrous metal ores","mining_related","no","120170001792","03/03/2017","3271","1","0","Gold/Manganese/Cobalt","0","0","0"
"Sino Superstar Investment Limited","Mining of other non-ferrous metal ores","mining_related","no","120251019096","23/01/2025","3229","1","0","Nickel/Manganese/Zinc","1","0","0"
"TAURUS MINERAL RESOURCES LIMITED"," Mining of other non-ferrous metal ores","mining_related","no","120210015700","05/05/2021","3207","1","0","Limestone (General)/Zinc/Gold","1","0","0"
"Metacorp Exploration and Mining Investment Limited","Other mining and quarrying n.e.c.","mining_related","no","120220041268","01/11/2022","3190","6","1","Copper/Gold/Iron Ore","1","0","4"
"OREMARK RESOURCES ZAMBIA LIMITED","Mining of other non-ferrous metal ores","mining_related","no","120241009355","05/07/2024","3150","3","0","Cobalt/Gold/Iron Ore","1","0","0"
"Huayi Investments Limited","Manufacture of basic precious and other non-ferrous metals","mining_related","no","120220028892","25/02/2022","3147","1","1","Platinum/Nickel/Silver","1","0","1"
"Africon Mining and Minerals Limited","Other mining and quarrying n.e.c.","mining_related","no","120200007357","08/09/2020","3143","1","0","Manganese/Niobium (Columbium)/Quartz","1","1","0"
"damashi resources limited.","Other mining and quarrying n.e.c.","mining_related","no","120230061235","19/12/2023","3141","1","0","Limestone (General)/Iron Ore/Quartz","1","1","0"
"Bin Ajilu Enterprises Limited","Mining of other non-ferrous metal ores","mining_related","no","120210017344","17/06/2021","3141","3","0","Gold/Tourmaline/Nickel","1","0","2"
"Vundu Minerals Limited","Casting of non-ferrous metals","mining_related","no","120200007739","16/09/2020","3092","1","0","Manganese/Silver/Zinc","1","0","1"
"Joe's Earthworks and Mining Ltd","Support activities for other mining and quarrying","mining_related","no","119720006726","22/03/1972","3086","1","0","Molybdenum/Manganese/Nickel","1","1","0"
"KLR Drilling Technologies Limited"," Support activities for other mining and quarrying","mining_related","no","120210020515","13/09/2021","3084","2","0","Nickel/Manganese/Zinc","1","1","0"
"Kabwe Kapumpe Mine Limited","Mining of iron ores","mining_related","no","120210019053","05/08/2021","3072","1","1","Silver/Zinc/Mineral Sands","1","1","1"
"White Lion Mining Limited","Mining of other non-ferrous metal ores","mining_related","no","120230051774","08/06/2023","3032","1","0","Gold/Manganese/Cobalt","1","1","0"
"Archean Xplore Limited","Mining of other non-ferrous metal ores","mining_related","no","120210013262","25/02/2021","2976","3","0","Tantalum/Tourmaline/Tin","1","0","3"
"Chumams Mining Limited","Mining of iron ores","mining_related","no","120220041221","31/10/2022","2959","3","0","Iron Ore/Gold/Copper","1","0","3"
"Sunion Investments Limited","Other mining and quarrying n.e.c.","mining_related","no","120210024340","29/11/2021","2914","3","1","Gold/Copper/Tantalum","1","1","1"
"Infra Mining Consultants Limited","Other mining and quarrying n.e.c.","mining_related","no","120241008037","06/06/2024","2912","1","0","Nickel/Manganese/Malachite","1","0","0"
"Sparkler Mining and Exploration Limited","Other mining and quarrying n.e.c.","mining_related","no","120210018668","27/07/2021","2897","1","0","Platinum/Ruby/Zinc","1","0","1"
"Woodpeckers Mining Company Limited","Mining of iron ores","mining_related","no","120170005410","18/07/2017","2884","1","0","Iron Ore/Limestone (General)/Titanium","0","0","1"
"Jin Ding Mining Limited","Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","mining_related","no","120070064887","04/02/2007","2870","1","1","Copper","0","0","1"
"Anchor Resources Limited","Other mining and quarrying n.e.c.","mining_related","no","120210015105","19/04/2021","2808","4","0","Copper/Gold/Iron Ore","1","0","1"
"Joysam Enterprise Limited","Other retail sale not in stores, stalls or markets","mining_related","no","120020050513","15/08/2002","2765","3","0","Nickel/Manganese/Tourmaline","0","1","3"
"Kalembo Mining Exploration and Consultancy Limited","Mining of other non-ferrous metal ores","mining_related","no","120241006487","10/05/2024","2761","4","0","Gold/Copper/Zinc","0","1","0"
"Nikars Mining Limited","Mining of other non-ferrous metal ores","mining_related","no","120230048278","24/03/2023","2739","1","0","Manganese/Limestone (General)/Lead","1","0","1"
"Dumle Mining Limited","Support activities for other mining and quarrying","mining_related","no","120230044829","20/01/2023","2728","3","0","Gold/Lead/Copper","1","0","2"
"Mingi Investments Holdings Limited","Support activities for other mining and quarrying","mining_related","no","120200000790","29/01/2020","2714","2","0","Copper/Talc-Soapstone/Gold","1","0","1"
"Black Toned Mining Limited","Other mining and quarrying n.e.c.","mining_related","no","120220043584","22/12/2022","2704","4","0","Copper/Gold/Manganese","1","0","2"
"Divine Booker Limited","Retail sale of books, newspapers and stationary in specialized stores","mining_related","no","120220042527","29/11/2022","2690","3","1","Gold/Copper/Iron Ore","1","0","2"
"Brilliant Exploration and Mining Limited"," Mining of other non-ferrous metal ores","mining_related","no","120210021742","06/10/2021","2677","1","0","Silica/Quartz/Manganese","1","1","1"
"Panshi Zambian Mining Company Limited","Mining of other non-ferrous metal ores","mining_related","no","120251025518","14/05/2025","2674","1","0","Silver/Nickel/Tantalum","1","0","0"
"Chilushyana Mining Limited","Other mining and quarrying n.e.c.","mining_related","no","120230059219","06/11/2023","2648","3","0","Iron Ore/Zinc/Silver","1","1","3"
"Kuaisu Auto Service Limited","Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","mining_related","no","120150129702","11/02/2015","2609","1","0","Iron Ore/Zinc/Gold","0","1","0"
"Aztec Mining Limited","Support activities for other mining and quarrying","mining_related","no","120210020184","07/09/2021","2593","1","0","Manganese/Silver/Lead","1","0","1"
"Katiso Resources Limited","Mining of hard coal","mining_related","no","120200005818","24/07/2020","2566","6","2","Copper/Gold/Manganese","1","1","2"
"Supix Minerals Limited","Other mining and quarrying n.e.c.","mining_related","no","120180008527","09/10/2018","2557","1","0","Lead/Manganese/Zinc","1","1","0"
"Quantella Resources Limited","Mining of other non-ferrous metal ores","mining_related","no","120220035272","27/06/2022","2551","1","0","Rare EarthsElements/Nickel/Zinc","1","0","1"
"Yosef Ventures Company Limited","Other mining and quarrying n.e.c.","mining_related","no","120180004272","22/05/2018","2549","4","1","Cobalt/Gold/Copper","0","0","4"
"Kamawusa Mining Limited","Mining of other non-ferrous metal ores","mining_related","no","120180002905","10/04/2018","2523","1","0","Gold/Silver/Cobalt","0","0","0"
"Proquest Minerals and Exploration Limited","Mining of other non-ferrous metal ores","mining_related","no","120220038069","24/08/2022","2472","1","0","Copper/Gold/Quartz","1","1","1"
"Madibba Resources  And Exploration Company Limited"," Mining of other non-ferrous metal ores","mining_related","no","120210022032","13/10/2021","2463","1","0","Radium/Silver/Quartz","1","0","0"
"Lukanga Quarries Limited","Other mining and quarrying n.e.c.","mining_related","no","120200002846","15/04/2020","2434","3","1","Limestone (General)/Silver/Quartz","1","1","1"
"Gotrays Mining Zambia Limited","Other mining and quarrying n.e.c.","mining_related","no","120220026294","07/01/2022","2410","2","0","Silver/Manganese/Zinc","1","0","1"
"Ovahglo Limited","Other retail sale not in stores, stalls or markets","mining_related","no","120090080652","30/09/2009","2402","3","0","Lead/Manganese/Zinc","0","0","0"
"Leonk Mining Consultants Limited","Support activities for other mining and quarrying","mining_related","no","120220039978","30/09/2022","2402","1","0","Silver/Zinc/Gold","1","0","1"
"SIMWAMI MINERAL RESOURCES LIMITED","Mining of other non-ferrous metal ores","mining_related","no","120241006408","09/05/2024","2385","2","0","Gold/Iron Ore/Cobalt","1","0","0"
"Misoler Investment Limited","Mining of other non-ferrous metal ores","mining_related","no","120230056698","18/09/2023","2371","2","0","Manganese/Silver/Zinc","1","0","1"
"Kratos Mining Limited","Mining of other non-ferrous metal ores","mining_related","no","120200001038","05/02/2020","2356","1","1","Iron Ore/Manganese/Zinc","0","0","0"
"Global Ore Core Resources Limited","Other mining and quarrying n.e.c.","mining_related","no","120241006881","17/05/2024","2356","4","0","Gold/Limestone (General)/Cobalt","1","0","4"
"United Gypsum Mine Limited","Other mining and quarrying n.e.c.","mining_related","no","120220038659","06/09/2022","2287","4","1","Gold/Anhydrite/Gypsum","1","1","0"
"Golden Leopard Mining Industry Limited","Mining of hard coal","mining_related","no","120241010088","17/07/2024","2281","3","0","Tin/Coal/Tungsten","1","0","0"
"Leroy Minerals Logistics And Construction Limited","Support activities for other mining and quarrying","mining_related","no","120220028058","11/02/2022","2253","4","0","Gold/Silver/Manganese","1","1","1"
"Hachintusanmei Mineral Resources Limited","Mining of other non-ferrous metal ores","mining_related","no","120251020959","21/02/2025","2212","1","0","Fluorine-Fluorite/Feldspar/Tourmaline","1","0","0"
"Attarah Resources Limited","Mining of other non-ferrous metal ores","mining_related","no","120190004471","10/06/2019","2201","3","0","Limestone (General)/Quartz/Manganese","0","0","0"
"Changfa Resources Limited","Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","mining_related","no","120110098165","14/12/2011","2184","1","1","Silver/Lead/Zinc","0","1","1"
"Mulopwe Metals Mining Limited","Other mining and quarrying n.e.c.","mining_related","no","120180008767","16/10/2018","2176","2","2","Gold/Copper/Lead","0","1","1"
"Momentum Mining Services Limited","Support activities for other mining and quarrying","mining_related","no","120220043327","15/12/2022","2166","1","0","Nickel/Manganese/Quartz","1","1","0"
"Kilimanjaro Mining Limited","Mining of other non-ferrous metal ores","mining_related","no","120241016626","03/12/2024","2147","2","0","Manganese/Lead/Quartz","1","0","0"
"Kamwenshya Mineral Zambia Limited","Mining of other non-ferrous metal ores","mining_related","no","120210025263","17/12/2021","2146","3","1","Gold/Copper/Iron Ore","1","0","1"
"Zamafa Natural Resources Limited","Other mining and quarrying n.e.c.","mining_related","no","120220043595","22/12/2022","2131","4","0","Manganese/Nickel/Zinc","1","0","2"
"Tushiya Mining And General Trading Limited","Support activities for other mining and quarrying","mining_related","no","120220043061","09/12/2022","2127","1","0","Quartz/Silica/Mica","1","0","1"
"Dangote Quarries Zambia Limited","Support activities for other mining and quarrying","mining_related","no","120080074570","28/08/2008","2121","2","1","Limestone (General)","0","1","1"
"MTDK INVESTMENT LIMITED","Other retail sale in non-specialized stores","mining_related","no","120241016623","03/12/2024","2097","1","0","Nickel/Lead/Zinc","1","0","0"
"Aimstrike Resources Limited","Mining of other non-ferrous metal ores","mining_related","no","120220041253","01/11/2022","2089","1","0","Lead/Silver/Zinc","1","0","1"
"One Belt Mining Limited"," Other mining and quarrying n.e.c.","mining_related","no","120210016811","02/06/2021","2085","3","0","Iron Ore/Manganese/Gold","1","1","2"
"Upendo Resources Limited","Mining of other non-ferrous metal ores","mining_related","no","120200005900","28/07/2020","2075","3","1","Gold/Copper/Manganese","1","1","2"
"HRM MINING INVESTMENTS LIMITED","Mining of other non-ferrous metal ores","mining_related","no","120241016213","24/11/2024","2069","4","0","Copper/Zinc/Manganese","1","1","0"
"Stavin Investements Limited","Support activities for other mining and quarrying","mining_related","no","120200005636","21/07/2020","2056","2","0","Gold/Copper/Cobalt","1","0","2"
"Tianle Mineral Development Company Limited","Support activities for other mining and quarrying","mining_related","no","120230058192","13/10/2023","2052","1","0","Manganese/Limestone (General)/Iron Ore","1","0","0"
"MUKULIKA MINING AND GENERAL DEALERS LIMITED","Support activities for other mining and quarrying","mining_related","no","120241002260","15/02/2024","2048","1","0","Precious Gems/Quartz/Green tourmaline","1","0","1"
"Africoal Investment Company Limited","Support activities for other mining and quarrying","mining_related","no","120241000358","10/01/2024","2044","1","0","Gold/Silver/Copper","1","1","0"
"Chatupa Lesa Mining Limited","Mining of other non-ferrous metal ores","mining_related","no","120210014539","01/04/2021","2034","1","1","Anhydrite/Iron Ore/Rare EarthsElements","1","1","1"
"Chitoshi Chiefdom Mineral Resources Limited","Other mining and quarrying n.e.c.","mining_related","no","120230051204","29/05/2023","2023","1","0","Iron Ore/Manganese/Copper","1","0","1"
"Bonway Investments Limited","Other retail sale in non-specialized stores","mining_related","no","120220030049","21/03/2022","2006","1","0","Nickel/Manganese/Uranium","1","1","1"
"Katema Malolwa Resources Limited","Other mining and quarrying n.e.c.","mining_related","no","120220043962","30/12/2022","2000","1","0","Manganese/Nickel/Rare EarthsElements","1","0","1"
"Black Diamond Mining & Minerals Limited","Other mining and quarrying n.e.c.","mining_related","no","120230047994","21/03/2023","1998","4","1","Manganese/Copper/Gold","1","1","1"
"MERACLUS INVESTMENTS LIMITED","Mining of other non-ferrous metal ores","mining_related","no","120241017187","13/12/2024","1997","2","0","Copper/Gold/Nickel","1","1","0"
"TRUSTROCK RESOURCES LIMITED","Other mining and quarrying n.e.c.","mining_related","no","120251025282","09/05/2025","1992","1","0","Silver/Manganese/Zinc","1","1","0"
"Chisungusho Investments Limited","Mining of other non-ferrous metal ores","mining_related","no","120200005288","09/07/2020","1991","2","0","Silver/Quartz/Gold","0","0","2"
"Akamaru General Dealers Limited","Support activities for other mining and quarrying","mining_related","no","120230060479","01/12/2023","1991","3","0","Gold/Copper/Malachite","1","0","3"
"XINHONGTAI MINING LIMITED","Other mining and quarrying n.e.c.","mining_related","no","120241009630","10/07/2024","1974","1","0","Anhydrite/Manganese/Graphite","1","0","1"
"Longvee Mining Limited","Other mining and quarrying n.e.c.","mining_related","no","120230061529","27/12/2023","1970","2","0","Copper/Cobalt/Gold","1","0","0"
"Muchenga Resources Limited","Other mining and quarrying n.e.c.","mining_related","no","120220038982","12/09/2022","1964","2","0","Zinc/Iron Ore/Lead","0","0","2"
"Sellome Investment Limited","Support activities for other mining and quarrying","mining_related","no","120140120605","13/03/2014","1934","1","0","Lithium/Silver/Zinc","1","1","1"
"IDWALA MINERAL RESOURCES LIMITED","Other mining and quarrying n.e.c.","mining_related","no","120241003727","14/03/2024","1914","4","0","Iron Ore/Silver/Lead","1","0","3"
"Lulea Mining Engineering Limited","Support activities for other mining and quarrying","mining_related","no","120210014520","01/04/2021","1907","2","0","Limestone (General)/Kaolin/Silica","1","0","1"
"Grand Osk Limited","Mining of other non-ferrous metal ores","mining_related","no","120180004826","08/06/2018","1881","1","0","Rare EarthsElements/Limestone (General)/Lead","0","1","1"
"Newcrest Mining Limited","Support activities for other mining and quarrying","mining_related","no","120200001043","05/02/2020","1869","1","0","Manganese/Iron Ore/Silver","1","0","1"
"Tangshan Resources Limited","Extraction of crude petroleum","mining_related","no","120220033719","30/05/2022","1854","2","0","Lithium/Limestone (General)/Molybdenum","1","0","0"
"Zamzinc Industry Company Limited","Manufacture of other non-metallic mineral products n.e.c.","mining_related","no","120210014177","23/03/2021","1852","2","1","Manganese/Lead/Silver","1","0","1"
"African Inkalamo Mining Limited","Mining of other non-ferrous metal ores","mining_related","no","120220035275","27/06/2022","1850","1","1","Rare EarthsElements/Platinum Group Metals/Niobium (Columbium)","1","1","1"
"Redstone Resources Limited","Other mining and quarrying n.e.c.","mining_related","no","120241006855","16/05/2024","1849","3","1","Gold/Copper/Zinc","1","0","3"
"SDLG INVESTMENTS LIMITED","Other retail sale in non-specialized stores","mining_related","no","120220039540","22/09/2022","1847","2","0","Manganese/Nickel/Zinc","1","1","1"
"SOngachi Mining and Supplies Services Limited","Other mining and quarrying n.e.c.","mining_related","no","120241002866","23/02/2024","1843","4","0","Copper/Gold/Iron Ore","1","0","1"
"Gadiel Mining Limited","Mining of other non-ferrous metal ores","mining_related","no","120241010291","25/07/2024","1835","1","0","Silver/Zinc/Gold","1","1","1"
"Freshstart Emerald Mining Limited","Mining of other non-ferrous metal ores","mining_related","no","120200008151","29/09/2020","1820","2","0","Limestone (General)/Anhydrite/Tourmaline","1","0","1"
"Addulum Cave Investments Limited","Mining of chemical and fertilizer minerals","mining_related","no","120230058885","31/10/2023","1819","1","0","Quartz/Manganese/Zinc","1","0","1"
"Royal Chamuka Mining Limited","Mining of other non-ferrous metal ores","mining_related","no","120200001600","25/02/2020","1815","1","0","Silver/Manganese/Zinc","1","0","0"
"Kabile Mining Limited","Other mining and quarrying n.e.c.","mining_related","no","120210025787","29/12/2021","1803","1","0","Manganese/Silver/Zinc","1","0","1"
"Lorella Products Limited","Other mining and quarrying n.e.c.","mining_related","no","120200001542","22/02/2020","1800","1","0","Granite/Manganese/Silver","1","0","1"
"Fouta Mining Limited","Mining of iron ores","mining_related","no","120241012793","13/09/2024","1798","2","0","Iron Ore/Lead/Manganese","1","0","0"
"Motomine Zambia Limited","Support activities for other mining and quarrying","mining_related","no","120200008503","07/10/2020","1797","3","0","Manganese/Lead/Iron Ore","1","0","3"
"Malambo Mining Limited","Mining of other non-ferrous metal ores","mining_related","no","120220034134","06/06/2022","1765","3","0","Lithium/Silver/Quartz","1","0","3"
"HAMBURG EXPLORATION LIMITED","Other mining and quarrying n.e.c.","mining_related","no","120241015998","20/11/2024","1764","2","0","Gold/Tin/Sugilite","1","0","0"
"Koala Mining Limited","Other mining and quarrying n.e.c.","mining_related","no","120220037932","22/08/2022","1756","1","0","Lithium/Gold/Quartz","1","0","1"
"Zumran Mining and Exploration Limited","Support activities for other mining and quarrying","mining_related","no","120110097725","30/11/2011","1755","1","0","Manganese/Zinc/Gold","0","1","1"
"Alliance Minerals Limited"," Other mining and quarrying n.e.c.","mining_related","no","120210016383","20/05/2021","1754","2","0","Manganese/Silver/Zinc","1","0","2"
"Nalikolo Mining Limited"," Mining of other non-ferrous metal ores","mining_related","no","120210023540","11/11/2021","1752","1","0","Malachite/Iron Ore/Manganese","1","0","0"
"Maretec Investments Limited","Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","mining_related","no","120200000286","13/01/2020","1752","2","0","Gold/Copper/Cobalt","0","1","2"
"Chamula Resources Limited","Other retail sale of new goods in specialized stores","mining_related","no","120120107715","07/12/2012","1747","1","0","Gold/Copper/Barium-Barite","0","0","1"
"Kabundi Resources Limited","Mining of other non-ferrous metal ores","mining_related","no","120190003630","08/05/2019","1743","5","3","Limestone (General)/Manganese/Gold","1","1","4"
"Goldfields Resources Limited","Other mining and quarrying n.e.c.","mining_related","no","120230058197","13/10/2023","1740","3","0","Quartz/Zinc/Iron Ore","1","0","0"
"Lipostide Resources Limited","Mining of iron ores","mining_related","no","120200006160","06/08/2020","1733","1","0","Gold/Lithium/Aquamarine","1","1","1"
"Mother Land Resources Limited","Mining of other non-ferrous metal ores","mining_related","no","120200009629","09/11/2020","1723","2","0","Granite/Limestone (General)/Nickel","1","0","1"
"KYLIN NONFERROUS MINING ZAMBIA LIMITED","Mining of other non-ferrous metal ores","mining_related","no","120241014976","30/10/2024","1714","4","0","Copper/Cobalt/Gold","1","0","0"
"Midstream Capital Limited"," Mining of iron ores","mining_related","no","120210020273","08/09/2021","1707","1","0","Manganese/Platinum/Tantalum","1","0","0"
"Jinfeng Mining Company Limited","Support activities for other mining and quarrying","mining_related","no","120180009965","27/11/2018","1704","1","0","Rare EarthsElements/Manganese/Silver","0","0","1"
"Kekedar Investment Zambia Company Limited","Support activities for other mining and quarrying","mining_related","no","120180006071","20/07/2018","1699","1","0","Sand/Molding/Talc-Soapstone","0","0","1"
"Ezed Mines Limited","Other mining and quarrying n.e.c.","mining_related","no","120190001848","26/02/2019","1689","1","0","Nickel/Silver/Zinc","0","0","1"
"Mobile Shaft Metals Limited","Mining of other non-ferrous metal ores","mining_related","no","120200009789","13/11/2020","1661","2","0","Iron Ore/Anhydrite/Manganese","1","0","2"
"BLS Mining Limited","Support activities for other mining and quarrying","mining_related","no","120220041129","28/10/2022","1649","2","0","Lead/Manganese/Zinc","1","0","0"
"Rontex Minerals  Limited","Mining of other non-ferrous metal ores","mining_related","no","120200003715","18/05/2020","1641","1","0","Gold/Iron Ore/Lithium","1","0","0"
"White Rock Marketing Limited","Other retail sale in non-specialized stores","mining_related","no","120200004841","19/06/2020","1640","4","0","Zinc/Manganese/Nickel","1","0","3"
"Simba Ventures Limited","Support activities for other mining and quarrying","mining_related","no","120230059980","21/11/2023","1631","2","0","Lead/Manganese/Zinc","1","0","1"
"Collum Coal Mining Industries Limited","Support activities for other mining and quarrying","mining_related","no","120000044804","08/06/2000","1628","1","1","Coal","0","0","1"
"Uluse Minerals Limited","Other mining and quarrying n.e.c.","mining_related","no","120230044192","06/01/2023","1628","1","0","Iron Ore/Zinc/Gold","1","1","0"
"STREET WISE MINING LIMITED","Other mining and quarrying n.e.c.","mining_related","no","120230058699","26/10/2023","1610","2","0","Manganese/Gold/Copper","1","0","1"
"Shamrock Mining Limited","Quarrying of stone, sand and clay","mining_related","no","120200003538","12/05/2020","1607","1","1","Silver/Sulfuric Acid/Zinc","1","0","1"
"Brimamwa Mining and Explorations Limited","Other mining and quarrying n.e.c.","mining_related","no","120190004402","06/06/2019","1592","3","0","Gold/Lead/Manganese","0","0","1"
"Sacko Resources Limited","Mining of iron ores","mining_related","no","120220037888","22/08/2022","1575","2","0","Lead/Nickel/Zinc","1","0","2"
"Minol Insights Investments Limited","Other retail sale in non-specialized stores","mining_related","no","120210024524","02/12/2021","1531","3","0","Emerald/Diamond","1","0","1"
"Silver Rock Mining Limited","Quarrying of stone, sand and clay","mining_related","no","120220033796","31/05/2022","1528","1","0","Silica/Quartz/Mica","1","0","1"
"Bema Mining Services Limited","Other mining and quarrying n.e.c.","mining_related","no","120230049606","21/04/2023","1526","2","0","Cobalt/Gold/Copper","1","0","1"
"TRISHUL MINES AND MINERALS LIMITED","Other mining and quarrying n.e.c.","mining_related","no","120241003806","15/03/2024","1508","2","0","Malachite/Manganese/Zinc","1","1","0"
"Quick Copper Mining Limited","Other mining and quarrying n.e.c.","mining_related","no","120150135049","24/08/2015","1498","1","0","Iron Ore/Silver/Tin","1","1","1"
"CHQI INVESTMENTS LIMITED","Support activities for other mining and quarrying","mining_related","no","120241011892","27/08/2024","1475","2","0","Malachite/Gold/Copper","1","0","0"
"Hyperion Corporation Limited","Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores","mining_related","no","120200008022","24/09/2020","1475","1","0","Iron Ore/Manganese/Silver","0","0","0"
"Rajeshwari Resources Limited","Mining of other non-ferrous metal ores","mining_related","no","120200010582","09/12/2020","1471","3","0","Lead/Manganese/Zinc","1","0","2"
"Sezic Resources Limited","Other mining and quarrying n.e.c.","mining_related","no","120190009064","19/11/2019","1470","4","3","Coal/Anhydrite/Quartz","0","1","3"
"Kabulyeni Mining Limited","Other mining and quarrying n.e.c.","mining_related","no","120200009409","03/11/2020","1450","1","0","Gold/Zinc/Cobalt","1","0","1"
"Zambia Minerals Investment Corporation Limited","Support activities for other mining and quarrying","mining_related","no","120241010255","24/07/2024","1436","1","0","","1","0","0"
