"holder","declared_business","business_class","name_contradicts_declaration","entity_number","registration_date","hectares","licenses","mining_lics","main_commodities","beneficial_owner_declared","annual_return_filed","lics_in_default_2025"
"Landilani Natural Resources Limited","Other mining and quarrying n.e.c.","mining_related","no","120220043597","22/12/2022","120172","5","0","Gold/Silver/Cobalt","1","0","3"
"World Class Mineral Venture Limited","Other mining and quarrying n.e.c.","mining_related","no","120180001083","06/02/2018","119663","3","0","Copper/Nickel/Silver","0","1","2"
"Imperial Resources Limited","Mining of other non-ferrous metal ores","mining_related","no","120210022241","15/10/2021","119607","3","0","Iron Ore/Silver/Zinc","1","0","2"
"Mutand Resources Limited","Mining of other non-ferrous metal ores","mining_related","no","120190006045","06/08/2019","119266","4","0","Limestone (General)/Lead/Anhydrite","1","0","0"
"CHILILAMATAMBO MINING LIMITED","Other mining and quarrying n.e.c.","mining_related","no","120220034517","13/06/2022","118502","2","1","Iron Ore//Copper","1","0","1"
"African Pioneer Zambia Limited","Support activities for other mining and quarrying","mining_related","no","120200007992","23/09/2020","116980","4","0","Nickel/Copper/Cobalt","0","0","4"
"Elysium Minerals Limited","Other mining and quarrying n.e.c.","mining_related","no","120210013250","24/02/2021","115462","3","0","Copper/Manganese/Iron Ore","0","1","2"
"FQM Trident Limited","Mining of other non-ferrous metal ores","mining_related","no","120060064262","15/02/2006","114114","6","6","Platinum Group Metals/Nickel/Silver","1","1","1"
"Lebrenca Investments Limited","Support activities for other mining and quarrying","mining_related","no","120130116493","17/10/2013","112960","2","0","Silver/Zinc/Manganese","0","0","1"
"Pretium Resources Limited","Other mining and quarrying n.e.c.","mining_related","no","120220034855","17/06/2022","109911","2","0","Anhydrite/Gypsum/Graphite","1","0","2"
"JM Quarrying and Mining Limited"," Other mining and quarrying n.e.c.","mining_related","no","120210020658","15/09/2021","108975","1","0","Platinum/Silver/Gold","1","0","1"
"Westate Zambia Limited","Mining of other non-ferrous metal ores","mining_related","no","120200001152","07/02/2020","107136","3","0","Gold/Nickel/Cobalt","1","1","1"
"Tsavari Mining Limited","Mining of other non-ferrous metal ores","mining_related","no","120220033938","02/06/2022","103874","4","0","Gold/Silver/Lead","1","0","3"
"Polyplus Zambia Limited","Support activities for other mining and quarrying","mining_related","no","120230048180","23/03/2023","103051","5","0","Gold/Cobalt/Copper","1","0","0"
"G & G National Wide Mining Zambia Limited","Support activities for other mining and quarrying","mining_related","no","120130118230","19/12/2013","102364","1","0","Silver/Talc-Soapstone/Quartz","0","0","1"
"Mayfair Global Solutions Zambia Limited","Mining of other non-ferrous metal ores","mining_related","no","120180004939","13/06/2018","101321","4","0","Manganese/Silver/Zinc","0","0","2"
"Highland Mines and Minerals Limited","Other mining and quarrying n.e.c.","mining_related","no","120210014249","25/03/2021","98683","5","0","Lead/Manganese/Zinc","1","1","0"
"STRIKING STAR MINERAL RESOURCES LIMITED","Support activities for petroleum and natural gas extraction","mining_related","no","120241005599","23/04/2024","98405","2","0","Lead/Iron Ore/Zinc","1","0","2"
"Matpet Holdings Limited","Mining of other non-ferrous metal ores","mining_related","no","120220039957","30/09/2022","96611","2","0","Iron Ore/Manganese/Cobalt","1","0","2"
"DAHKANY MINING RESOURCES LIMITED","Other mining and quarrying n.e.c.","mining_related","no","120241012693","11/09/2024","95592","2","0","Copper/Tantalum/Tungsten","1","0","0"
"Dongsen Mining & Investment Limited","Mining of other non-ferrous metal ores","mining_related","no","120210024553","02/12/2021","94683","1","0","Ruby/Quartz/Zinc","1","0","1"
"Annapoorna Minerals Limited","Other mining and quarrying n.e.c.","mining_related","no","120190004841","20/06/2019","93421","4","0","Sand/Manganese/Limestone (General)","0","0","0"
"Gandi Natural Resources Company Zambia Limited","Mining of other non-ferrous metal ores","mining_related","no","120241001558","01/02/2024","93098","5","0","Gold/Copper/Silver","1","1","0"
"Chenjelani Resources Limited","Other mining and quarrying n.e.c.","mining_related","no","120220043591","22/12/2022","91336","4","0","Manganese/Gold/Iron Ore","1","0","3"
"WEIJU INVESTMENT LIMITED","Other mining and quarrying n.e.c.","mining_related","no","120230061661","29/12/2023","90061","4","0","Lead/Gold/Silver","1","1","2"
"EARTHZONE MINING LIMITED","Mining of other non-ferrous metal ores","mining_related","no","120251018407","10/01/2025","89929","3","0","Gold/Fluorine-Fluorite/Tin","1","0","0"
"GOLDEN GRIDLINES SOLUTIONS LIMITED","Other retail sale in non-specialized stores","mining_related","no","120241008942","25/06/2024","89491","3","0","Copper/Cobalt/Gold","1","0","0"
"Lunsongwa and Mining  Exploration  Resources Limited","Other mining and quarrying n.e.c.","mining_related","no","120230053937","25/07/2023","87354","1","0","Nickel/Zinc/Gold","1","0","0"
"Franciscan Minerals Zambia Limited","Support activities for other mining and quarrying","mining_related","no","120120108127","24/12/2012","86132","3","0","Tin/Zinc/Nickel","0","0","3"
"Winzan Mining Limited","Other mining and quarrying n.e.c.","mining_related","no","120200004437","09/06/2020","84382","2","0","Lead/Zinc/Gold","1","1","0"
"Melesa Mining Limited","Other mining and quarrying n.e.c.","mining_related","no","120241016208","24/11/2024","83388","1","0","Manganese/Iron Ore/Tourmaline","1","1","0"
"Africa Prospect Development Zambia Limited","Support activities for other mining and quarrying","mining_related","no","120170005080","06/07/2017","82657","2","0","Garnet/Feldspar/Corundum","0","0","1"
"Namonde Mining Limited","Mining of other non-ferrous metal ores","mining_related","no","120220042717","02/12/2022","82644","4","0","Iron Ore/Lead/Zinc","1","0","2"
"Mayiko Infrastructure Limited","Mining of other non-ferrous metal ores","mining_related","no","120220040364","10/10/2022","82244","2","0","Iron Ore/Zinc/Manganese","1","1","0"
"Jingneng Mining Limited","Other mining and quarrying n.e.c.","mining_related","no","120241012217","04/09/2024","82163","4","0","Copper/Zinc/Gold","1","0","0"
"Camland Construction Limited","Retail sale of hardware, paints and glass in specialized stores","mining_related","no","120080074456","21/08/2008","81662","1","0","Gold/Zinc/Cobalt","0","1","1"
"ELEGANTE MINERAL RESOURCES LIMITED","Other mining and quarrying n.e.c.","mining_related","no","120230054097","27/07/2023","79213","3","0","Gold/Zinc/Copper","1","0","0"
"Buccha Minerals Quest Limited","Mining of other non-ferrous metal ores","mining_related","no","120241011217","14/08/2024","78831","6","0","Copper/Gold/Iron Ore","1","1","0"
"North Gypsum Mining Limited","Mining of other non-ferrous metal ores","mining_related","no","120230044202","06/01/2023","78318","1","0","Rare EarthsElements/Manganese/Silver","1","0","0"
"Red Sea Resources Zambia Limited"," Support activities for other mining and quarrying","mining_related","no","120210018634","26/07/2021","78163","3","0","Lead/Manganese/Gold","1","0","2"
"Mudiwa Resources Limited","Mining of iron ores","mining_related","no","120230055193","18/08/2023","76943","3","0","Gold/Cobalt/Copper","1","1","2"
