"query_holder","segment","entity_name","entity_number","registration_date","nature_of_business","entity_status","company_type","isic_classification","exact_name_match","annual_return_filed","beneficial_owner_declared","nominal_capital_ok","annual_return_reason","beneficial_owner_reason","nominal_capital_reason"
"Bright Sky Mining Limited","gemstones","BRIGHT SKY MINING LIMITED","120241006729","15/05/2024","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/12/2024. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Brilliant Exploration and Mining Limited","gemstones","BRILLIANT EXPLORATION AND MINING LIMITED","120210021742","06/10/2021"," Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","1","1","0","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 28/09/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Brimamwa Mining and Explorations Limited","critical_battery","BRIMAMWA MINING & EXPLORATIONS LIMITED","120190004402","06/06/2019","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","False","0","0","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 06/06/2025. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"Brinewlam Mining Limited","gemstones","BRINEWLAM MINING LIMITED","120220040818","20/10/2022","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 20/10/2023. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Broadway Mining Cooperative Society Limited","gold","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"Brockworth Exploration & Mining Limited","industrial_minerals","BROCKWORTH EXPLORATION & MINING LIMITED","120160002630","08/04/2016","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","","resolved_via_normalised_query","0","0","0",,,
"Broken Hill Marketing Limited","critical_battery","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","True","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
"Broken Hill Merchants Limited","critical_battery","BROKEN HILL MERCHANTS LIMITED","120220030230","23/03/2022","Management consultancy activities","Active","Local Company - Limited by Shares","7020. Management consultancy activities","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 23/03/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Brooks Commodities Limited","gold","BROOKS COMMODITIES LIMITED","120220034084","03/06/2022","Other retail sale in non-specialized stores","Active","Local Company - Limited by Shares","4719. Other retail sale in non-specialized stores","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 03/06/2023. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"BRUDAS INVESTMENTS LIMITED","gemstones","BRUDAS INVESTMENTS LIMITED","120230047845","18/03/2023","Other professional, scientific and technical activities n.e.c.","Active","Local Company - Limited by Shares","7490. Other professional, scientific and technical activities n.e.c.","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/12/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Bruhati Mining and Minerals Limited","critical_battery","BRUHATI MINING AND MINERALS LIMITED","120210017356","17/06/2021"," Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","1","1","0","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 31/12/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Brxton Construction Limited","critical_battery","BRXTON CONSTRUCTION LIMITED","120150135971","25/09/2015","Construction of other civil engineering projects","Active","Local Company - Limited by Shares","4290. Construction of other civil engineering projects","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 25/09/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Bubala Mining and Construction Limited","base_metals","BUBALA MINING AND CONSTRUCTION LIMITED","120210012178","26/01/2021","Support activities for other mining and quarrying","Active","Local Company - Limited by Shares","0990. Support activities for other mining and quarrying","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 19/01/2022. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Bubanji Resources Limited","gold","BUBANJI RESOURCES LIMITED","120230058975","01/11/2023","Mixed farming","Active","Local Company - Limited by Shares","0150. Mixed farming","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/12/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Buccha Minerals Quest Limited","gemstones","BUCCHA MINERALS QUEST LIMITED","120241011217","14/08/2024","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 09/08/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Buffalo Consortium Limited","gold","BUFFALO CONSORTIUM LIMITED","120130112217","16/05/2013","Real estate activities on a fee or contract basis","Active","Local Company - Limited by Shares","6820. Real estate activities on a fee or contract basis","True","0","0","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/01/2025. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Buffalo Hill Investments Limited","critical_battery","BUFFALO HILL INVESTMENTS LIMITED","120220037863","19/08/2022","Other retail sale in non-specialized stores","Active","Local Company - Limited by Shares","4719. Other retail sale in non-specialized stores","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 19/08/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Build Gene Mining and Construction Limited","gemstones","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"BUILDCREST INVESTMENTS LIMITED","gemstones","BUILDCREST INVESTMENTS LIMITED","120220027106","24/01/2022","Other personal service activities n.e.c.","Active","Local Company - Limited by Shares","9609. Other personal service activities n.e.c.","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 23/01/2023. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Builders Mining Corporation Limited","critical_battery","BUILDERS MINING CORPORATION LIMITED","120220041823","11/11/2022","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 11/11/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"BuildFreca Construction Limited","critical_battery","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"Buildridge Construction Limited","gemstones","BUILDRIDGE CONSTRUCTION LIMITED","120200010781","15/12/2020","Construction of buildings","Active","Local Company - Limited by Shares","4100. Construction of buildings","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 14/12/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Bukema Mining Limited","gemstones","BUKEMA MINING LIMITED","120200010799","15/12/2020","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 14/12/2023. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Bulongo Mining Zambia Limited","gemstones","BULONGO MINING ZAMBIA LIMITED","120241015918","18/11/2024","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 01/01/2027. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Bumpekete Mining & Exploration Limited","critical_battery","BUMPEKETE MINING & EXPLORATION LIMITED","120200001186","10/02/2020","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","","resolved_via_normalised_query","0","1","1",,,
"Buneme Multi-Purpose Cooperative Society Limited","gold","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"BUNTINGWA RESOURCES LIMITED","base_metals","BUNTINGWA RESOURCES LIMITED","120220042900","07/12/2022","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 06/12/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Bupe Transit Home Foundation Limited","critical_battery","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"BURJ FUND RESOURCES LIMITED","critical_battery","BURJ FUND RESOURCES LIMITED","120241016087","21/11/2024","Non-specialized wholesale trade","Active","Local Company - Limited by Shares","4690. Non-specialized wholesale trade","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 20/11/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Busanya Mining Limited","gemstones","BUSANYA MINING LIMITED","120241007368","27/05/2024","Support activities for other mining and quarrying","Active","Local Company - Limited by Shares","0990. Support activities for other mining and quarrying","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/12/2024. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Butala Capital Company Limited","critical_battery","BUTALA CAPITAL COMPANY LIMITED","120210021701","06/10/2021"," Other monetary intermediation","Active","Local Company - Limited by Shares","6419. Other monetary intermediation","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 05/10/2022. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
