"commodity","hs_code","year","volume","unit","value_usd","value_zmw","customs_transactions","source"
"Unroasted iron pyrite concentrate",,"2024","6600","Kilogram","3029.84",,"2","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"WASTE material (Broken / crushed rock/stone from mining activity)",,"2024","18390.6","Kilogram","2441.11",,"27","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Other waste and scrap of precious metals",,"2024","500","Kilogram","2364.58",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper ore, Sulphide",,"2024","9322.190","Kilogram","2039.77",,"33","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Cobalt concentrate",,"2024","237","Kilogram","1952.41",,"9","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Electro-won copper cathodes (high purity)",,"2024","209","Kilogram","1897.28",,"3","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Non-agglomerated iron ores and concentrates",,"2024","5","Metric ton (1000 kg)","1475.87",,"3","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper concentrate, Oxide",,"2024","512","Kilogram","1294.18",,"10","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper ore, Mixed sulphide and oxide",,"2024","3939.5","Kilogram","1225.52",,"12","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper blister (unrefined copper, not anodes for electrolytic refining)",,"2024","150.6","Kilogram","1170.08",,"2","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Other zinc ores",,"2024","1702","Kilogram","1114.69",,"5","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"WASTE material (Broken / crushed rock/stone from mining activity)",,"2024","4.8","Metric ton (1000 kg)","685.29",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper anodes for electrolytic refining (primary quality)",,"2024","45","Kilogram","424.28",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper concentrate, Mixed sulphide and oxide",,"2024","120.540","Kilogram","380.57",,"14","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Slag containing copper",,"2024","200","Kilogram","244.66",,"2","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper-cobalt alloy (other than master alloys of 7405)",,"2024","24","Kilogram","157.22",,"2","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Cobalt ore",,"2024","50","Kilogram","146.5",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Roasted iron pyrites",,"2024","100","Kilogram","135.73",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Base metals or silver, clad with gold, up to semi-manufactured - Sheets, plates & strips",,"2024","2","Gram","107.03",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Unwrought lead (excl. refined and containing antimony)",,"2024","50","Kilogram","101.56",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Silver ores and concentrates",,"2024","2","Kilogram","99.47",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Zincite, zinc oxide ores",,"2024","102","Kilogram","87.92",,"5","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Non-agglomerated iron ores and concentrates",,"2024","221","Kilogram","81.64",,"6","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Tailings containing copper",,"2024","1405","Kilogram","60.21",,"4","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Electro-refined copper cathodes (high purity)",,"2024","3100","Gram","27.94",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper mattes; cement copper (precipitated copper) to be accessible immediately",,"2024","3","Kilogram","18.54",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Niobium, tantalum and vanadium ores and concentrates",,"2024","765","Gram","13.8",,"2","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Other copper products from electro-winning process",,"2024","12558","Gram","12.92",,"2","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Tin ores and concentrates",,"2024","607","Gram","9.86",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Aluminium ores and concentrates",,"2024","120","Kilogram","9.25",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper matte",,"2024","1.5","Kilogram","8.89",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper ore, Oxide",,"2024","7437","Gram","8.02",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Titanium ores and concentrates",,"2024","4","Kilogram","2.4",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper concentrate, Oxide",,"2024","650","Gram","1.81",,"2","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper concentrate, Mixed sulphide and oxide",,"2024","500","Gram","1.6",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper concentrate, Sulphide",,"2024","760","Gram","1.44",,"2","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Bronze, unwrought",,"2024","150","Gram","1.18",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Electro-won copper cathodes (high purity)",,"2024","120","Gram","1.15",,"2","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper ore, Sulphide",,"2024","6400","Gram","1.14",,"2","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Lead ores and concentrates",,"2024","600","Gram","0.18",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"WASTE material (Broken / crushed rock/stone from mining activity)",,"2024","500","Gram","0.06",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Iron and non-alloy steel, in primary forms (excl. ingots), nes",,"2024","0.6","Gram","0",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
