"commodity","hs_code","year","volume","unit","value_usd","value_zmw","customs_transactions","source"
"Electro-won copper cathodes (high purity)",,"2024","111360","Metric ton (1000 kg)","1036111317.99",,"42","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Nickel ores and concentrates",,"2024","176500","Dry metric tonnes","506189760.10",,"9","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Electro-won copper cathodes (high purity)",,"2024","49300","Dry metric tonnes","449251700.31",,"53","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Electro-refined copper cathodes (high purity)",,"2024","44590","Dry metric tonnes","409336417.26",,"28","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Electro-won copper cathodes (low purity)",,"2024","30500","Dry metric tonnes","269389049.33",,"8","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper-cobalt alloy (other than master alloys of 7405)",,"2024","30500","Metric ton (1000 kg)","231301332.58",,"9","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper blister (unrefined copper, not anodes for electrolytic refining)",,"2024","17370","Dry metric tonnes","158284342.15",,"25","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Bullion; semi-manufactured form of gold",,"2024","1689.110","Kilogram","126378694.97",,"11","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper concentrate, Mixed sulphide and oxide",,"2024","28160.4","Dry metric tonnes","68326674.81",,"16","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper concentrate, Sulphide",,"2024","28890","Metric ton (1000 kg)","63226576.61",,"9","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"other Zinc concentrates",,"2024","62500","Dry metric tonnes","53016845.28",,"22","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Electro-refined copper cathodes (low purity)",,"2024","5500","Dry metric tonnes","48619701.9",,"7","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Anodic slimes",,"2024","920","Dry metric tonnes","40467968",,"6","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Other unrefined copper, off-grade anodes for electrolytic refining (not copper blister )",,"2024","6000","Dry metric tonnes","34478128.6",,"6","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper concentrate, Oxide",,"2024","21790","Dry metric tonnes","24826547.72",,"13","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Zincite, zinc oxide concentrates",,"2024","31500","Dry metric tonnes","23071421.65",,"10","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Unwrought lead (excl. refined and containing antimony)",,"2024","13100","Dry metric tonnes","22730693.88",,"27","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper ore, Oxide",,"2024","58600","Dry metric tonnes","21171757.85",,"29","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Zinc dust",,"2024","20008","Metric ton (1000 kg)","20853512.09",,"3","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Aluminium alloys, unwrought",,"2024","6463","Dry metric tonnes","14961366.79",,"20","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Other zinc ores",,"2024","19790","Dry metric tonnes","13340918.38",,"11","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
