"commodity","year","volume","unit_note","source"
"Silver Prod - Not Gold Dore","2023","275.117","as published (dashboard is labelled 'Tonnes'; base-metal figures are in thousand tonnes, e.g. Copper Prod 2023 = 736.747 vs 736,585-736,747 t reported in ZEITI files)","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Mineral Production 2023 - 2024 (Tonnes)'"
"Silver Prod - Not Gold Dore","2024","69.063","as published (dashboard is labelled 'Tonnes'; base-metal figures are in thousand tonnes, e.g. Copper Prod 2023 = 736.747 vs 736,585-736,747 t reported in ZEITI files)","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Mineral Production 2023 - 2024 (Tonnes)'"
"Sulphuric Acid Prod","2023","1868.052","as published (dashboard is labelled 'Tonnes'; base-metal figures are in thousand tonnes, e.g. Copper Prod 2023 = 736.747 vs 736,585-736,747 t reported in ZEITI files)","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Mineral Production 2023 - 2024 (Tonnes)'"
"Sulphuric Acid Prod","2024","1676.8","as published (dashboard is labelled 'Tonnes'; base-metal figures are in thousand tonnes, e.g. Copper Prod 2023 = 736.747 vs 736,585-736,747 t reported in ZEITI files)","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Mineral Production 2023 - 2024 (Tonnes)'"
"Total Cobalt Prod Cons","2023","1.28","as published (dashboard is labelled 'Tonnes'; base-metal figures are in thousand tonnes, e.g. Copper Prod 2023 = 736.747 vs 736,585-736,747 t reported in ZEITI files)","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Mineral Production 2023 - 2024 (Tonnes)'"
"Total Cobalt Prod Cons","2024","1.31","as published (dashboard is labelled 'Tonnes'; base-metal figures are in thousand tonnes, e.g. Copper Prod 2023 = 736.747 vs 736,585-736,747 t reported in ZEITI files)","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Mineral Production 2023 - 2024 (Tonnes)'"
"Total Cobalt Prod Smelters","2023","0.188","as published (dashboard is labelled 'Tonnes'; base-metal figures are in thousand tonnes, e.g. Copper Prod 2023 = 736.747 vs 736,585-736,747 t reported in ZEITI files)","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Mineral Production 2023 - 2024 (Tonnes)'"
"Total Cobalt Prod Smelters","2024","0.057","as published (dashboard is labelled 'Tonnes'; base-metal figures are in thousand tonnes, e.g. Copper Prod 2023 = 736.747 vs 736,585-736,747 t reported in ZEITI files)","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Mineral Production 2023 - 2024 (Tonnes)'"
"Total Nickel Prod Cons","2023","8.577","as published (dashboard is labelled 'Tonnes'; base-metal figures are in thousand tonnes, e.g. Copper Prod 2023 = 736.747 vs 736,585-736,747 t reported in ZEITI files)","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Mineral Production 2023 - 2024 (Tonnes)'"
"Total Nickel Prod Cons","2024","23.666","as published (dashboard is labelled 'Tonnes'; base-metal figures are in thousand tonnes, e.g. Copper Prod 2023 = 736.747 vs 736,585-736,747 t reported in ZEITI files)","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Mineral Production 2023 - 2024 (Tonnes)'"
