"entity_id","entity_as_published","year","metric","value","unit","source"
"CCS","Chambishi Copper Smelter Ltd","2023","production_value_usd","987574138","USD","ZEITI Copper Production by Company 2023 XLSX (via data/production_data.js)"
"FQM_TRIDENT","Kalumbila Minerals / Sentinel (FQM Trident)","2023","production_value_usd","1571394742","USD","ZEITI Copper Production by Company 2023 XLSX (via data/production_data.js)"
"LUMWANA","Lumwana Mining Co. (Barrick)","2023","production_value_usd","999777606","USD","ZEITI Copper Production by Company 2023 XLSX (via data/production_data.js)"
"MOPANI","Mopani Copper Mines Plc","2023","production_value_usd","296966378","USD","ZEITI Copper Production by Company 2023 XLSX (via data/production_data.js)"
"CNMC_LUANSHYA","CNMC Luanshya Copper Mines","2023","production_value_usd","177624287","USD","ZEITI Copper Production by Company 2023 XLSX (via data/production_data.js)"
"KCM","Konkola Copper Mines Plc","2023","production_value_usd","164207003","USD","ZEITI Copper Production by Company 2023 XLSX (via data/production_data.js)"
"LUBAMBE","Lubambe Copper Mine Ltd","2023","production_value_usd","126679839","USD","ZEITI Copper Production by Company 2023 XLSX (via data/production_data.js)"
